,Indicador,Data,Reuniao,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,Selic,2024-08-09,R5/2026,9.4534,9.5,0.8642,7.5,12.0,59.0,0
1,Selic,2024-08-09,R4/2026,9.5338,9.5,0.8579,7.5,12.5,111.0,0
2,Selic,2024-08-09,R3/2026,9.6157,9.5,0.8455,7.5,12.5,121.0,0
3,Selic,2024-08-09,R2/2026,9.7004,9.5,0.8538,7.5,12.5,121.0,0
4,Selic,2024-08-09,R1/2026,9.7984,9.5,0.9112,7.5,12.5,124.0,0
5,Selic,2024-08-09,R8/2025,9.9283,9.75,0.8912,7.5,12.5,143.0,0
6,Selic,2024-08-09,R7/2025,10.0144,9.75,0.8716,8.0,12.5,139.0,0
7,Selic,2024-08-09,R6/2025,10.1043,10.0,0.8385,8.5,12.5,139.0,0
8,Selic,2024-08-09,R5/2025,10.2086,10.25,0.776,8.75,12.5,139.0,0
9,Selic,2024-08-09,R4/2025,10.3183,10.5,0.707,9.0,12.5,139.0,0
10,Selic,2024-08-09,R3/2025,10.4245,10.5,0.6345,9.0,12.5,139.0,0
11,Selic,2024-08-09,R2/2025,10.5,10.5,0.5538,9.0,12.5,139.0,0
12,Selic,2024-08-09,R1/2025,10.5647,10.5,0.4697,9.5,12.5,139.0,0
13,Selic,2024-08-09,R8/2024,10.5908,10.5,0.3423,10.0,12.0,146.0,0
14,Selic,2024-08-09,R7/2024,10.5687,10.5,0.2163,10.25,11.5,142.0,0
15,Selic,2024-08-09,R6/2024,10.5282,10.5,0.0895,10.5,11.0,142.0,0
16,Selic,2024-08-08,R5/2026,9.3047,9.0,0.7997,8.0,12.0,32.0,0
17,Selic,2024-08-08,R4/2026,9.4817,9.5,0.8341,7.5,12.5,109.0,0
18,Selic,2024-08-08,R3/2026,9.5723,9.5,0.8235,7.5,12.5,121.0,0
19,Selic,2024-08-08,R2/2026,9.6488,9.5,0.8311,7.5,12.5,121.0,0
20,Selic,2024-08-08,R1/2026,9.7193,9.5,0.8557,7.5,12.5,122.0,0
21,Selic,2024-08-08,R8/2025,9.8617,9.75,0.8455,7.5,12.5,141.0,0
22,Selic,2024-08-08,R7/2025,9.9416,9.75,0.8263,7.5,12.5,137.0,0
23,Selic,2024-08-08,R6/2025,10.0237,10.0,0.7974,7.5,12.5,137.0,0
24,Selic,2024-08-08,R5/2025,10.1296,10.25,0.7313,8.0,12.5,137.0,0
25,Selic,2024-08-08,R4/2025,10.2409,10.5,0.6509,8.5,12.5,137.0,0
26,Selic,2024-08-08,R3/2025,10.3558,10.5,0.5616,9.0,12.5,137.0,0
27,Selic,2024-08-08,R2/2025,10.4398,10.5,0.4506,9.5,12.0,137.0,0
28,Selic,2024-08-08,R1/2025,10.5109,10.5,0.356,9.75,12.0,137.0,0
29,Selic,2024-08-08,R8/2024,10.5503,10.5,0.251,10.0,11.75,144.0,0
30,Selic,2024-08-08,R7/2024,10.5301,10.5,0.138,10.25,11.25,141.0,0
31,Selic,2024-08-08,R6/2024,10.5124,10.5,0.0543,10.5,10.75,141.0,0
32,Selic,2024-08-07,R5/2026,9.3056,9.0,0.8203,8.0,12.0,27.0,0
33,Selic,2024-08-07,R4/2026,9.486,9.5,0.8406,7.5,12.5,107.0,0
34,Selic,2024-08-07,R3/2026,9.5735,9.5,0.8278,7.5,12.5,119.0,0
35,Selic,2024-08-07,R2/2026,9.6458,9.5,0.8289,7.5,12.5,120.0,0
36,Selic,2024-08-07,R1/2026,9.7149,9.5,0.8554,7.5,12.5,121.0,0
37,Selic,2024-08-07,R8/2025,9.8661,9.75,0.847,7.5,12.5,140.0,0
38,Selic,2024-08-07,R7/2025,9.9467,9.75,0.8272,7.5,12.5,136.0,0
39,Selic,2024-08-07,R6/2025,10.0294,10.0,0.7975,7.5,12.5,136.0,0
40,Selic,2024-08-07,R5/2025,10.1342,10.25,0.732,8.0,12.5,136.0,0
41,Selic,2024-08-07,R4/2025,10.2463,10.5,0.6516,8.5,12.5,136.0,0
42,Selic,2024-08-07,R3/2025,10.3603,10.5,0.5629,9.0,12.5,136.0,0
43,Selic,2024-08-07,R2/2025,10.4412,10.5,0.452,9.5,12.0,136.0,0
44,Selic,2024-08-07,R1/2025,10.511,10.5,0.3573,9.75,12.0,136.0,0
45,Selic,2024-08-07,R8/2024,10.5507,10.5,0.2518,10.0,11.75,143.0,0
46,Selic,2024-08-07,R7/2024,10.5304,10.5,0.1384,10.25,11.25,140.0,0
47,Selic,2024-08-07,R6/2024,10.5125,10.5,0.0545,10.5,10.75,140.0,0
48,Selic,2024-08-06,R5/2026,9.2045,9.0,0.6894,8.0,10.5,22.0,0
49,Selic,2024-08-06,R4/2026,9.4623,9.5,0.8081,7.5,12.5,106.0,0
50,Selic,2024-08-06,R3/2026,9.553,9.5,0.8005,7.5,12.5,118.0,0
51,Selic,2024-08-06,R2/2026,9.6261,9.5,0.8037,7.5,12.5,119.0,0
52,Selic,2024-08-06,R1/2026,9.6958,9.5,0.833,7.5,12.5,120.0,0
53,Selic,2024-08-06,R8/2025,9.8525,9.75,0.8299,7.5,12.5,139.0,0
54,Selic,2024-08-06,R7/2025,9.9296,9.75,0.8117,7.5,12.5,135.0,0
55,Selic,2024-08-06,R6/2025,10.0111,10.0,0.7834,7.5,12.5,135.0,0
56,Selic,2024-08-06,R5/2025,10.113,10.25,0.7199,8.0,12.5,135.0,0
57,Selic,2024-08-06,R4/2025,10.2241,10.5,0.6464,8.5,12.5,135.0,0
58,Selic,2024-08-06,R3/2025,10.3426,10.5,0.5609,9.0,12.5,135.0,0
59,Selic,2024-08-06,R2/2025,10.4296,10.5,0.4561,9.5,12.0,135.0,0
60,Selic,2024-08-06,R1/2025,10.5056,10.5,0.3619,9.75,12.0,135.0,0
61,Selic,2024-08-06,R8/2024,10.5493,10.5,0.2539,10.0,11.75,142.0,0
62,Selic,2024-08-06,R7/2024,10.5306,10.5,0.1389,10.25,11.25,139.0,0
63,Selic,2024-08-06,R6/2024,10.5126,10.5,0.0547,10.5,10.75,139.0,0
64,Selic,2024-08-05,R5/2026,9.2619,9.0,0.6523,8.0,10.5,21.0,0
65,Selic,2024-08-05,R4/2026,9.4528,9.5,0.825,7.5,12.5,106.0,0
66,Selic,2024-08-05,R3/2026,9.5445,9.5,0.8167,7.5,12.5,118.0,0
67,Selic,2024-08-05,R2/2026,9.6176,9.5,0.8204,7.5,12.5,119.0,0
68,Selic,2024-08-05,R1/2026,9.6875,9.5,0.8498,7.5,12.5,120.0,0
69,Selic,2024-08-05,R8/2025,9.8496,9.75,0.8419,7.5,12.5,138.0,0
70,Selic,2024-08-05,R7/2025,9.9291,9.75,0.8239,7.5,12.5,134.0,0
71,Selic,2024-08-05,R6/2025,10.0112,10.0,0.7958,7.5,12.5,134.0,0
72,Selic,2024-08-05,R5/2025,10.1138,10.25,0.7328,8.0,12.5,134.0,0
73,Selic,2024-08-05,R4/2025,10.2239,10.5,0.663,8.0,12.5,134.0,0
74,Selic,2024-08-05,R3/2025,10.3451,10.5,0.5688,8.5,12.5,134.0,0
75,Selic,2024-08-05,R2/2025,10.431,10.5,0.4636,9.0,12.0,134.0,0
76,Selic,2024-08-05,R1/2025,10.5056,10.5,0.3684,9.5,12.0,134.0,0
77,Selic,2024-08-05,R8/2024,10.5461,10.5,0.2589,10.0,11.75,141.0,0
78,Selic,2024-08-05,R7/2024,10.529,10.5,0.1414,10.25,11.25,138.0,0
79,Selic,2024-08-05,R6/2024,10.5127,10.5,0.0549,10.5,10.75,138.0,0
80,Selic,2024-08-02,R5/2026,9.1176,9.0,0.5631,8.0,10.5,17.0,0
81,Selic,2024-08-02,R4/2026,9.4198,9.5,0.8352,7.5,12.5,106.0,0
82,Selic,2024-08-02,R3/2026,9.5105,9.5,0.8246,7.5,12.5,119.0,0
83,Selic,2024-08-02,R2/2026,9.5868,9.5,0.8255,7.5,12.5,121.0,0
84,Selic,2024-08-02,R1/2026,9.6701,9.5,0.8513,7.5,12.5,122.0,0
85,Selic,2024-08-02,R8/2025,9.8333,9.75,0.8436,7.5,12.5,141.0,0
86,Selic,2024-08-02,R7/2025,9.9124,9.75,0.8248,7.5,12.5,137.0,0
87,Selic,2024-08-02,R6/2025,9.9945,10.0,0.7966,7.5,12.5,137.0,0
88,Selic,2024-08-02,R5/2025,10.0985,10.0,0.7327,8.0,12.5,137.0,0
89,Selic,2024-08-02,R4/2025,10.2117,10.25,0.6617,8.0,12.5,137.0,0
90,Selic,2024-08-02,R3/2025,10.3339,10.5,0.5677,8.5,12.5,137.0,0
91,Selic,2024-08-02,R2/2025,10.4234,10.5,0.4616,9.0,12.0,137.0,0
92,Selic,2024-08-02,R1/2025,10.5018,10.5,0.3656,9.5,12.0,137.0,0
93,Selic,2024-08-02,R8/2024,10.5448,10.5,0.2554,10.0,11.75,145.0,0
94,Selic,2024-08-02,R7/2024,10.5284,10.5,0.1399,10.25,11.25,141.0,0
95,Selic,2024-08-02,R6/2024,10.5124,10.5,0.0543,10.5,10.75,141.0,0
96,Selic,2024-08-01,R5/2026,9.1667,9.0,0.2357,9.0,9.5,3.0,0
97,Selic,2024-08-01,R4/2026,9.4387,9.5,0.8427,7.5,12.5,102.0,0
98,Selic,2024-08-01,R3/2026,9.5194,9.5,0.8312,7.5,12.5,116.0,0
99,Selic,2024-08-01,R2/2026,9.589,9.5,0.8333,7.5,12.5,118.0,0
100,Selic,2024-08-01,R1/2026,9.666,9.5,0.8583,7.5,12.5,119.0,0
101,Selic,2024-08-01,R8/2025,9.8315,9.6251,0.8444,7.5,12.5,138.0,0
102,Selic,2024-08-01,R7/2025,9.9104,9.75,0.826,7.5,12.5,134.0,0
103,Selic,2024-08-01,R6/2025,9.9869,10.0,0.8025,7.5,12.5,134.0,0
104,Selic,2024-08-01,R5/2025,10.0877,10.0,0.7408,8.0,12.5,134.0,0
105,Selic,2024-08-01,R4/2025,10.1959,10.25,0.6777,8.0,12.5,134.0,0
106,Selic,2024-08-01,R3/2025,10.319,10.5,0.5886,8.5,12.5,134.0,0
107,Selic,2024-08-01,R2/2025,10.4086,10.5,0.4863,9.0,12.0,134.0,0
108,Selic,2024-08-01,R1/2025,10.4907,10.5,0.3832,9.5,12.0,134.0,0
109,Selic,2024-08-01,R8/2024,10.5423,10.5,0.2735,10.0,12.0,142.0,0
110,Selic,2024-08-01,R7/2024,10.5272,10.5,0.1555,10.25,11.5,138.0,0
111,Selic,2024-08-01,R6/2024,10.5145,10.5,0.0657,10.5,11.0,138.0,0
112,Selic,2024-07-31,R4/2026,9.4381,9.5,0.8468,7.5,12.5,101.0,0
113,Selic,2024-07-31,R3/2026,9.5086,9.5,0.8324,7.5,12.5,116.0,0
114,Selic,2024-07-31,R2/2026,9.5742,9.5,0.8313,7.5,12.5,118.0,0
115,Selic,2024-07-31,R1/2026,9.6513,9.5,0.8502,7.5,12.5,119.0,0
116,Selic,2024-07-31,R8/2025,9.817,9.5,0.8327,7.5,12.5,138.0,0
117,Selic,2024-07-31,R7/2025,9.8891,9.75,0.8073,7.5,12.5,133.0,0
118,Selic,2024-07-31,R6/2025,9.968,10.0,0.7849,7.5,12.5,133.0,0
119,Selic,2024-07-31,R5/2025,10.0714,10.0,0.7239,8.0,12.5,133.0,0
120,Selic,2024-07-31,R4/2025,10.1823,10.25,0.6619,8.0,12.5,133.0,0
121,Selic,2024-07-31,R3/2025,10.3064,10.5,0.5724,8.5,12.5,133.0,0
122,Selic,2024-07-31,R2/2025,10.3985,10.5,0.474,9.0,12.0,133.0,0
123,Selic,2024-07-31,R1/2025,10.4831,10.5,0.3745,9.5,12.0,133.0,0
124,Selic,2024-07-31,R8/2024,10.537,10.5,0.2669,10.0,12.0,142.0,0
125,Selic,2024-07-31,R7/2024,10.5236,10.5,0.1501,10.25,11.5,138.0,0
126,Selic,2024-07-31,R6/2024,10.5127,10.5,0.0626,10.5,11.0,138.0,0
127,Selic,2024-07-31,R5/2024,10.5,10.5,0.0,10.5,10.5,138.0,0
128,Selic,2024-07-30,R4/2026,9.4455,9.5,0.8614,7.5,12.5,101.0,0
129,Selic,2024-07-30,R3/2026,9.5129,9.5,0.8413,7.5,12.5,116.0,0
130,Selic,2024-07-30,R2/2026,9.5763,9.5,0.8358,7.5,12.5,118.0,0
131,Selic,2024-07-30,R1/2026,9.6513,9.5,0.8502,7.5,12.5,119.0,0
132,Selic,2024-07-30,R8/2025,9.817,9.5,0.8327,7.5,12.5,138.0,0
133,Selic,2024-07-30,R7/2025,9.8891,9.75,0.8073,7.5,12.5,133.0,0
134,Selic,2024-07-30,R6/2025,9.968,10.0,0.7849,7.5,12.5,133.0,0
135,Selic,2024-07-30,R5/2025,10.0714,10.0,0.7239,8.0,12.5,133.0,0
136,Selic,2024-07-30,R4/2025,10.1823,10.25,0.6619,8.0,12.5,133.0,0
137,Selic,2024-07-30,R3/2025,10.3064,10.5,0.5724,8.5,12.5,133.0,0
138,Selic,2024-07-30,R2/2025,10.3985,10.5,0.474,9.0,12.0,133.0,0
139,Selic,2024-07-30,R1/2025,10.4812,10.5,0.37,9.5,12.0,133.0,0
140,Selic,2024-07-30,R8/2024,10.5352,10.5,0.263,10.0,12.0,142.0,0
141,Selic,2024-07-30,R7/2024,10.5217,10.5,0.1458,10.25,11.5,138.0,0
142,Selic,2024-07-30,R6/2024,10.5109,10.5,0.0592,10.5,11.0,138.0,0
143,Selic,2024-07-30,R5/2024,10.5,10.5,0.0,10.5,10.5,138.0,0
144,Selic,2024-07-29,R4/2026,9.4455,9.5,0.8614,7.5,12.5,101.0,0
145,Selic,2024-07-29,R3/2026,9.5129,9.5,0.8413,7.5,12.5,116.0,0
146,Selic,2024-07-29,R2/2026,9.5763,9.5,0.8358,7.5,12.5,118.0,0
147,Selic,2024-07-29,R1/2026,9.6513,9.5,0.8502,7.5,12.5,119.0,0
148,Selic,2024-07-29,R8/2025,9.817,9.5,0.8327,7.5,12.5,138.0,0
149,Selic,2024-07-29,R7/2025,9.8891,9.75,0.8073,7.5,12.5,133.0,0
150,Selic,2024-07-29,R6/2025,9.968,10.0,0.7849,7.5,12.5,133.0,0
151,Selic,2024-07-29,R5/2025,10.0714,10.0,0.7239,8.0,12.5,133.0,0
152,Selic,2024-07-29,R4/2025,10.1823,10.25,0.6619,8.0,12.5,133.0,0
153,Selic,2024-07-29,R3/2025,10.3064,10.5,0.5724,8.5,12.5,133.0,0
154,Selic,2024-07-29,R2/2025,10.3985,10.5,0.474,9.0,12.0,133.0,0
155,Selic,2024-07-29,R1/2025,10.4812,10.5,0.37,9.5,12.0,133.0,0
156,Selic,2024-07-29,R8/2024,10.5352,10.5,0.263,10.0,12.0,142.0,0
157,Selic,2024-07-29,R7/2024,10.5217,10.5,0.1458,10.25,11.5,138.0,0
158,Selic,2024-07-29,R6/2024,10.5109,10.5,0.0592,10.5,11.0,138.0,0
159,Selic,2024-07-29,R5/2024,10.5,10.5,0.0,10.5,10.5,138.0,0
160,Selic,2024-07-26,R4/2026,9.4182,9.5,0.8523,7.5,12.5,104.0,0
161,Selic,2024-07-26,R3/2026,9.4872,9.5,0.8357,7.5,12.5,119.0,0
162,Selic,2024-07-26,R2/2026,9.5492,9.5,0.8299,7.5,12.5,121.0,0
163,Selic,2024-07-26,R1/2026,9.6226,9.5,0.8441,7.5,12.5,122.0,0
164,Selic,2024-07-26,R8/2025,9.7905,9.5,0.8304,7.5,12.5,141.0,0
165,Selic,2024-07-26,R7/2025,9.8618,9.75,0.8056,7.5,12.5,136.0,0
166,Selic,2024-07-26,R6/2025,9.9449,9.75,0.7828,7.5,12.5,136.0,0
167,Selic,2024-07-26,R5/2025,10.0566,10.0,0.7227,8.0,12.5,136.0,0
168,Selic,2024-07-26,R4/2025,10.1699,10.25,0.6595,8.0,12.5,136.0,0
169,Selic,2024-07-26,R3/2025,10.2991,10.5,0.5703,8.5,12.5,136.0,0
170,Selic,2024-07-26,R2/2025,10.3921,10.5,0.4722,9.0,12.0,136.0,0
171,Selic,2024-07-26,R1/2025,10.4743,10.5,0.3717,9.5,12.0,136.0,0
172,Selic,2024-07-26,R8/2024,10.5276,10.5,0.2693,9.75,12.0,145.0,0
173,Selic,2024-07-26,R7/2024,10.516,10.5,0.1524,10.0,11.5,141.0,0
174,Selic,2024-07-26,R6/2024,10.5071,10.5,0.0662,10.25,11.0,141.0,0
175,Selic,2024-07-26,R5/2024,10.5,10.5,0.0,10.5,10.5,141.0,0
176,Selic,2024-07-25,R4/2026,9.3685,9.25,0.8676,7.5,12.5,97.0,0
177,Selic,2024-07-25,R3/2026,9.4423,9.5,0.8374,7.5,12.5,113.0,0
178,Selic,2024-07-25,R2/2026,9.5039,9.5,0.8194,7.5,12.5,116.0,0
179,Selic,2024-07-25,R1/2026,9.5787,9.5,0.8215,7.5,12.5,117.0,0
180,Selic,2024-07-25,R8/2025,9.7423,9.5,0.7924,7.5,12.5,136.0,0
181,Selic,2024-07-25,R7/2025,9.8084,9.75,0.7669,7.5,12.5,132.0,0
182,Selic,2024-07-25,R6/2025,9.8864,9.75,0.7464,7.5,12.5,132.0,0
183,Selic,2024-07-25,R5/2025,9.9977,10.0,0.6913,8.0,12.5,132.0,0
184,Selic,2024-07-25,R4/2025,10.105,10.25,0.6159,8.0,12.0,132.0,0
185,Selic,2024-07-25,R3/2025,10.2419,10.5,0.5249,8.5,12.0,132.0,0
186,Selic,2024-07-25,R2/2025,10.3345,10.5,0.4151,9.0,12.0,131.0,0
187,Selic,2024-07-25,R1/2025,10.4356,10.5,0.338,9.5,12.0,132.0,0
188,Selic,2024-07-25,R8/2024,10.5,10.5,0.2236,9.75,12.0,140.0,0
189,Selic,2024-07-25,R7/2024,10.5036,10.5,0.135,10.0,11.5,137.0,0
190,Selic,2024-07-25,R6/2024,10.5036,10.5,0.0603,10.25,11.0,137.0,0
191,Selic,2024-07-25,R5/2024,10.5,10.5,0.0,10.5,10.5,137.0,0
192,Selic,2024-07-24,R4/2026,9.3661,9.25,0.8655,7.5,12.5,99.0,0
193,Selic,2024-07-24,R3/2026,9.4324,9.5,0.8316,7.5,12.5,115.0,0
194,Selic,2024-07-24,R2/2026,9.4911,9.5,0.8065,7.5,12.5,118.0,0
195,Selic,2024-07-24,R1/2026,9.5647,9.5,0.7988,7.5,12.5,119.0,0
196,Selic,2024-07-24,R8/2025,9.7191,9.5,0.7584,7.5,12.5,139.0,0
197,Selic,2024-07-24,R7/2025,9.7811,9.75,0.7269,7.5,12.5,135.0,0
198,Selic,2024-07-24,R6/2025,9.8556,9.75,0.7002,7.5,12.5,135.0,0
199,Selic,2024-07-24,R5/2025,9.9681,10.0,0.6431,8.0,12.5,135.0,0
200,Selic,2024-07-24,R4/2025,10.0767,10.25,0.5675,8.0,12.0,135.0,0
201,Selic,2024-07-24,R3/2025,10.2161,10.5,0.4751,8.5,12.0,135.0,0
202,Selic,2024-07-24,R2/2025,10.3246,10.5,0.3849,9.0,12.0,135.0,0
203,Selic,2024-07-24,R1/2025,10.4167,10.5,0.2919,9.5,12.0,135.0,0
204,Selic,2024-07-24,R8/2024,10.4878,10.5,0.1901,9.75,12.0,143.0,0
205,Selic,2024-07-24,R7/2024,10.4982,10.5,0.1176,10.0,11.5,140.0,0
206,Selic,2024-07-24,R6/2024,10.5018,10.5,0.0559,10.25,11.0,140.0,0
207,Selic,2024-07-24,R5/2024,10.5,10.5,0.0,10.5,10.5,140.0,0
208,Selic,2024-07-23,R4/2026,9.3571,9.25,0.8653,7.5,12.5,98.0,0
209,Selic,2024-07-23,R3/2026,9.4215,9.5,0.8291,7.5,12.5,115.0,0
210,Selic,2024-07-23,R2/2026,9.4784,9.5,0.8023,7.5,12.5,118.0,0
211,Selic,2024-07-23,R1/2026,9.5521,9.5,0.7958,7.5,12.5,119.0,0
212,Selic,2024-07-23,R8/2025,9.708,9.5,0.7618,7.5,12.5,138.0,0
213,Selic,2024-07-23,R7/2025,9.7683,9.75,0.7323,7.5,12.5,134.0,0
214,Selic,2024-07-23,R6/2025,9.8396,9.75,0.7087,7.5,12.5,134.0,0
215,Selic,2024-07-23,R5/2025,9.953,10.0,0.651,8.0,12.5,134.0,0
216,Selic,2024-07-23,R4/2025,10.0624,10.0,0.5754,8.0,12.0,134.0,0
217,Selic,2024-07-23,R3/2025,10.2028,10.25,0.484,8.5,12.0,134.0,0
218,Selic,2024-07-23,R2/2025,10.3177,10.5,0.3913,9.0,12.0,134.0,0
219,Selic,2024-07-23,R1/2025,10.4142,10.5,0.2931,9.5,12.0,134.0,0
220,Selic,2024-07-23,R8/2024,10.4877,10.5,0.1907,9.75,12.0,142.0,0
221,Selic,2024-07-23,R7/2024,10.4982,10.5,0.118,10.0,11.5,139.0,0
222,Selic,2024-07-23,R6/2024,10.5018,10.5,0.0561,10.25,11.0,139.0,0
223,Selic,2024-07-23,R5/2024,10.5,10.5,0.0,10.5,10.5,139.0,0
224,Selic,2024-07-22,R4/2026,9.3437,9.25,0.8662,7.5,12.5,96.0,0
225,Selic,2024-07-22,R3/2026,9.4208,9.4875,0.8326,7.5,12.5,114.0,0
226,Selic,2024-07-22,R2/2026,9.4782,9.5,0.8057,7.5,12.5,117.0,0
227,Selic,2024-07-22,R1/2026,9.5526,9.5,0.7992,7.5,12.5,118.0,0
228,Selic,2024-07-22,R8/2025,9.7095,9.5,0.7644,7.5,12.5,137.0,0
229,Selic,2024-07-22,R7/2025,9.7685,9.75,0.735,7.5,12.5,133.0,0
230,Selic,2024-07-22,R6/2025,9.8384,9.75,0.7112,7.5,12.5,133.0,0
231,Selic,2024-07-22,R5/2025,9.9489,10.0,0.6517,8.0,12.5,133.0,0
232,Selic,2024-07-22,R4/2025,10.0591,10.0,0.5764,8.0,12.0,133.0,0
233,Selic,2024-07-22,R3/2025,10.2006,10.25,0.4852,8.5,12.0,133.0,0
234,Selic,2024-07-22,R2/2025,10.3163,10.5,0.3924,9.0,12.0,133.0,0
235,Selic,2024-07-22,R1/2025,10.4135,10.5,0.2941,9.5,12.0,133.0,0
236,Selic,2024-07-22,R8/2024,10.4875,10.5,0.1921,9.75,12.0,140.0,0
237,Selic,2024-07-22,R7/2024,10.4982,10.5,0.1189,10.0,11.5,137.0,0
238,Selic,2024-07-22,R6/2024,10.5018,10.5,0.0565,10.25,11.0,137.0,0
239,Selic,2024-07-22,R5/2024,10.5,10.5,0.0,10.5,10.5,137.0,0
240,Selic,2024-07-19,R4/2026,9.3484,9.25,0.8708,7.5,12.5,94.0,0
241,Selic,2024-07-19,R3/2026,9.4143,9.4875,0.831,7.5,12.5,114.0,0
242,Selic,2024-07-19,R2/2026,9.4718,9.5,0.8058,7.5,12.5,117.0,0
243,Selic,2024-07-19,R1/2026,9.5462,9.5,0.7966,7.5,12.5,118.0,0
244,Selic,2024-07-19,R8/2025,9.708,9.5,0.7589,7.5,12.5,138.0,0
245,Selic,2024-07-19,R7/2025,9.7721,9.75,0.7303,7.5,12.5,134.0,0
246,Selic,2024-07-19,R6/2025,9.8433,9.75,0.7082,7.5,12.5,134.0,0
247,Selic,2024-07-19,R5/2025,9.953,10.0,0.6517,8.0,12.5,134.0,0
248,Selic,2024-07-19,R4/2025,10.0624,10.0,0.5787,8.0,12.0,134.0,0
249,Selic,2024-07-19,R3/2025,10.2009,10.25,0.4863,8.5,12.0,134.0,0
250,Selic,2024-07-19,R2/2025,10.3158,10.5,0.3934,9.0,12.0,134.0,0
251,Selic,2024-07-19,R1/2025,10.4123,10.5,0.2949,9.5,12.0,134.0,0
252,Selic,2024-07-19,R8/2024,10.4837,10.5,0.1939,9.75,12.0,141.0,0
253,Selic,2024-07-19,R7/2024,10.4946,10.5,0.1221,10.0,11.5,138.0,0
254,Selic,2024-07-19,R6/2024,10.5,10.5,0.0602,10.25,11.0,138.0,0
255,Selic,2024-07-19,R5/2024,10.4982,10.5,0.0212,10.25,10.5,138.0,0
256,Selic,2024-07-18,R4/2026,9.347,9.25,0.7661,7.5,12.5,85.0,0
257,Selic,2024-07-18,R3/2026,9.408,9.5,0.7554,7.5,12.5,109.0,0
258,Selic,2024-07-18,R2/2026,9.4706,9.5,0.734,7.5,12.5,112.0,0
259,Selic,2024-07-18,R1/2026,9.5416,9.5,0.7369,7.5,12.5,113.0,0
260,Selic,2024-07-18,R8/2025,9.6891,9.5,0.7166,7.5,12.5,132.0,0
261,Selic,2024-07-18,R7/2025,9.7438,9.75,0.6894,7.5,12.5,128.0,0
262,Selic,2024-07-18,R6/2025,9.8086,9.75,0.6713,7.5,12.5,128.0,0
263,Selic,2024-07-18,R5/2025,9.9176,9.875,0.6337,8.0,12.5,128.0,0
264,Selic,2024-07-18,R4/2025,10.0321,10.0,0.5926,8.0,12.5,128.0,0
265,Selic,2024-07-18,R3/2025,10.1791,10.25,0.5134,8.5,12.5,128.0,0
266,Selic,2024-07-18,R2/2025,10.3053,10.5,0.4226,8.75,12.5,128.0,0
267,Selic,2024-07-18,R1/2025,10.4102,10.5,0.3391,9.0,12.5,128.0,0
268,Selic,2024-07-18,R8/2024,10.4885,10.5,0.2417,9.5,12.5,135.0,0
269,Selic,2024-07-18,R7/2024,10.5,10.5,0.1657,10.0,12.0,132.0,0
270,Selic,2024-07-18,R6/2024,10.5038,10.5,0.102,10.25,11.5,132.0,0
271,Selic,2024-07-18,R5/2024,10.5019,10.5,0.0486,10.25,11.0,132.0,0
272,Selic,2024-07-17,R4/2026,9.3403,9.25,0.7679,7.5,12.5,83.0,0
273,Selic,2024-07-17,R3/2026,9.4134,9.5,0.7675,7.5,12.5,110.0,0
274,Selic,2024-07-17,R2/2026,9.4753,9.5,0.7474,7.5,12.5,113.0,0
275,Selic,2024-07-17,R1/2026,9.55,9.5,0.7487,7.5,12.5,114.0,0
276,Selic,2024-07-17,R8/2025,9.7008,9.5,0.7239,7.5,12.5,133.0,0
277,Selic,2024-07-17,R7/2025,9.7535,9.75,0.6969,7.5,12.5,129.0,0
278,Selic,2024-07-17,R6/2025,9.8179,9.75,0.6782,7.5,12.5,129.0,0
279,Selic,2024-07-17,R5/2025,9.926,10.0,0.6384,8.0,12.5,129.0,0
280,Selic,2024-07-17,R4/2025,10.0396,10.0,0.5964,8.0,12.5,129.0,0
281,Selic,2024-07-17,R3/2025,10.1874,10.25,0.5153,8.5,12.5,129.0,0
282,Selic,2024-07-17,R2/2025,10.3165,10.5,0.4251,8.75,12.5,129.0,0
283,Selic,2024-07-17,R1/2025,10.4128,10.5,0.3391,9.0,12.5,129.0,0
284,Selic,2024-07-17,R8/2024,10.4849,10.5,0.2444,9.5,12.5,136.0,0
285,Selic,2024-07-17,R7/2024,10.4981,10.5,0.1665,10.0,12.0,133.0,0
286,Selic,2024-07-17,R6/2024,10.5038,10.5,0.1016,10.25,11.5,133.0,0
287,Selic,2024-07-17,R5/2024,10.5019,10.5,0.0484,10.25,11.0,133.0,0
288,Selic,2024-07-16,R4/2026,9.3333,9.25,0.7758,7.5,12.5,81.0,0
289,Selic,2024-07-16,R3/2026,9.4095,9.4875,0.7739,7.5,12.5,108.0,0
290,Selic,2024-07-16,R2/2026,9.4726,9.5,0.7536,7.5,12.5,111.0,0
291,Selic,2024-07-16,R1/2026,9.5487,9.5,0.7551,7.5,12.5,112.0,0
292,Selic,2024-07-16,R8/2025,9.7,9.5,0.7294,7.5,12.5,131.0,0
293,Selic,2024-07-16,R7/2025,9.7516,9.75,0.702,7.5,12.5,127.0,0
294,Selic,2024-07-16,R6/2025,9.815,9.75,0.6824,7.5,12.5,127.0,0
295,Selic,2024-07-16,R5/2025,9.9209,9.75,0.6413,8.0,12.5,127.0,0
296,Selic,2024-07-16,R4/2025,10.0343,10.0,0.5993,8.0,12.5,127.0,0
297,Selic,2024-07-16,R3/2025,10.1825,10.25,0.5178,8.5,12.5,127.0,0
