,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
62,PIB Total,2001-11-23,1/2002,-0.49,-0.72,1.58,-3.86,2.3,,0
63,PIB Total,2001-11-23,2/2002,0.88,0.8,1.12,-2.04,3.3,,0
64,PIB Total,2001-11-23,3/2002,2.45,2.29,1.11,0.0,4.44,,0
65,PIB Total,2001-11-26,3/2001,0.52,0.67,0.85,-2.0,2.0,,0
66,PIB Total,2001-11-26,4/2001,0.32,0.1,0.94,-1.15,1.85,,0
67,PIB Total,2001-11-26,1/2002,-0.48,-0.8,1.61,-3.86,2.3,,0
68,PIB Total,2001-11-26,2/2002,0.91,0.95,1.14,-2.04,3.3,,0
69,PIB Total,2001-11-26,3/2002,2.48,2.48,1.13,0.0,4.44,,0
70,PIB Total,2001-11-27,3/2001,0.53,0.5,0.8,-2.0,2.0,,0
71,PIB Total,2001-11-27,4/2001,0.32,0.25,0.95,-1.15,1.85,,0
72,PIB Total,2001-11-27,1/2002,-0.3,0.12,1.61,-3.86,2.3,,0
73,PIB Total,2001-11-27,2/2002,1.07,1.2,1.18,-2.04,3.3,,0
74,PIB Total,2001-11-27,3/2002,2.6,2.75,1.13,0.0,4.44,,0
75,PIB Total,2001-11-28,3/2001,0.53,0.5,0.8,-2.0,2.0,,0
76,PIB Total,2001-11-28,4/2001,0.32,0.25,0.95,-1.15,1.85,,0
77,PIB Total,2001-11-28,1/2002,-0.3,0.12,1.61,-3.86,2.3,,0
78,PIB Total,2001-11-28,2/2002,1.07,1.2,1.18,-2.04,3.3,,0
79,PIB Total,2001-11-28,3/2002,2.6,2.75,1.13,0.0,4.44,,0
80,PIB Total,2001-11-29,4/2001,0.31,0.2,0.95,-1.15,1.85,,0
81,PIB Total,2001-11-29,1/2002,-0.17,0.12,1.63,-3.86,2.3,,0
82,PIB Total,2001-11-29,2/2002,1.08,1.2,1.18,-2.04,3.3,,0
83,PIB Total,2001-11-29,3/2002,2.6,2.75,1.13,0.0,4.44,,0
