,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
8122,PIB Total,2008-05-08,1/2008,5.2,5.4,0.83,3.2,6.7,,0
8123,PIB Total,2008-05-08,2/2008,4.93,5.0,0.5,4.0,5.6,,0
8124,PIB Total,2008-05-08,3/2008,4.48,4.5,0.47,3.7,5.53,,0
8125,PIB Total,2008-05-08,4/2008,4.14,4.1,0.57,2.81,5.0,,0
8126,PIB Total,2008-05-08,1/2009,4.21,4.2,0.66,2.86,6.0,,0
8127,PIB Total,2008-05-09,1/2008,5.2,5.3,0.81,3.2,6.7,,0
8128,PIB Total,2008-05-09,2/2008,4.92,5.0,0.5,4.0,5.6,,0
8129,PIB Total,2008-05-09,3/2008,4.49,4.5,0.47,3.7,5.53,,0
8130,PIB Total,2008-05-09,4/2008,4.14,4.1,0.55,2.81,5.0,,0
8131,PIB Total,2008-05-09,1/2009,4.21,4.2,0.63,2.86,6.0,,0
8132,PIB Total,2008-05-12,1/2008,5.32,5.5,0.84,3.2,6.7,,0
8133,PIB Total,2008-05-12,2/2008,4.93,5.0,0.49,4.0,5.6,,0
8134,PIB Total,2008-05-12,3/2008,4.47,4.5,0.47,3.7,5.54,,0
8135,PIB Total,2008-05-12,4/2008,4.12,4.1,0.55,2.81,5.0,,0
8136,PIB Total,2008-05-12,1/2009,4.11,4.14,0.63,2.86,5.84,,0
8137,PIB Total,2008-05-13,1/2008,5.32,5.5,0.84,3.2,6.7,,0
8138,PIB Total,2008-05-13,2/2008,4.93,5.0,0.49,4.0,5.6,,0
8139,PIB Total,2008-05-13,3/2008,4.47,4.5,0.47,3.7,5.54,,0
8140,PIB Total,2008-05-13,4/2008,4.12,4.1,0.55,2.81,5.0,,0
8141,PIB Total,2008-05-13,1/2009,4.11,4.14,0.63,2.86,5.84,,0
8142,PIB Total,2008-05-14,1/2008,5.32,5.5,0.84,3.2,6.7,,0
8143,PIB Total,2008-05-14,2/2008,4.93,5.0,0.49,4.0,5.6,,0
8144,PIB Total,2008-05-14,3/2008,4.47,4.5,0.47,3.7,5.54,,0
8145,PIB Total,2008-05-14,4/2008,4.12,4.1,0.55,2.81,5.0,,0
8146,PIB Total,2008-05-14,1/2009,4.11,4.14,0.63,2.86,5.84,,0
8147,PIB Total,2008-05-15,1/2008,5.34,5.5,0.84,3.2,6.7,,0
8148,PIB Total,2008-05-15,2/2008,5.0,5.0,0.49,4.0,5.9,,0
8149,PIB Total,2008-05-15,3/2008,4.5,4.5,0.49,3.7,5.54,,0
8150,PIB Total,2008-05-15,4/2008,4.14,4.1,0.57,2.81,5.0,,0
8151,PIB Total,2008-05-15,1/2009,4.11,4.14,0.63,2.86,5.84,,0
8152,PIB Total,2008-05-16,1/2008,5.32,5.5,0.82,3.2,6.7,,0
8153,PIB Total,2008-05-16,2/2008,5.01,5.05,0.48,4.0,5.9,,0
8154,PIB Total,2008-05-16,3/2008,4.49,4.5,0.48,3.7,5.54,,0
8155,PIB Total,2008-05-16,4/2008,4.11,4.1,0.58,2.81,5.0,,0
8156,PIB Total,2008-05-16,1/2009,4.06,4.11,0.65,2.86,5.84,,0
8157,PIB Total,2008-05-19,1/2008,5.35,5.5,0.84,3.2,6.7,,0
8158,PIB Total,2008-05-19,2/2008,5.05,5.1,0.49,4.0,5.9,,0
8159,PIB Total,2008-05-19,3/2008,4.48,4.48,0.49,3.7,5.54,,0
8160,PIB Total,2008-05-19,4/2008,4.09,4.1,0.58,2.81,5.0,,0
8161,PIB Total,2008-05-19,1/2009,4.03,4.0,0.68,2.86,5.96,,0
8162,PIB Total,2008-05-20,1/2008,5.37,5.54,0.85,3.2,6.7,,0
8163,PIB Total,2008-05-20,2/2008,5.07,5.2,0.5,4.0,5.9,,0
8164,PIB Total,2008-05-20,3/2008,4.51,4.5,0.48,3.7,5.54,,0
8165,PIB Total,2008-05-20,4/2008,4.12,4.1,0.54,2.81,5.0,,0
8166,PIB Total,2008-05-20,1/2009,4.03,4.0,0.68,2.86,5.96,,0
8167,PIB Total,2008-05-21,1/2008,5.37,5.54,0.85,3.2,6.7,,0
8168,PIB Total,2008-05-21,2/2008,5.07,5.2,0.5,4.0,5.9,,0
8169,PIB Total,2008-05-21,3/2008,4.51,4.5,0.48,3.7,5.54,,0
8170,PIB Total,2008-05-21,4/2008,4.12,4.1,0.54,2.81,5.0,,0
8171,PIB Total,2008-05-21,1/2009,4.03,4.0,0.68,2.86,5.96,,0
8172,PIB Total,2008-05-23,1/2008,5.47,5.57,0.72,4.1,6.7,,0
8173,PIB Total,2008-05-23,2/2008,5.12,5.2,0.45,4.1,5.9,,0
8174,PIB Total,2008-05-23,3/2008,4.56,4.5,0.44,3.7,5.54,,0
8175,PIB Total,2008-05-23,4/2008,4.12,4.1,0.54,2.81,5.0,,0
8176,PIB Total,2008-05-23,1/2009,4.03,4.0,0.68,2.86,5.96,,0
8177,PIB Total,2008-05-26,1/2008,5.48,5.6,0.72,4.1,6.7,,0
8178,PIB Total,2008-05-26,2/2008,5.15,5.2,0.43,4.1,5.9,,0
8179,PIB Total,2008-05-26,3/2008,4.56,4.5,0.45,3.7,5.54,,0
8180,PIB Total,2008-05-26,4/2008,4.09,4.1,0.58,2.81,5.0,,0
8181,PIB Total,2008-05-26,1/2009,4.03,4.0,0.7,2.86,6.04,,0
8182,PIB Total,2008-05-27,1/2008,5.49,5.6,0.72,4.1,6.7,,0
8183,PIB Total,2008-05-27,2/2008,5.15,5.2,0.44,4.1,5.9,,0
8184,PIB Total,2008-05-27,3/2008,4.59,4.5,0.46,3.7,5.54,,0
8185,PIB Total,2008-05-27,4/2008,4.14,4.1,0.59,2.81,5.1,,0
8186,PIB Total,2008-05-27,1/2009,4.11,4.07,0.68,2.86,6.04,,0
8187,PIB Total,2008-05-28,1/2008,5.49,5.6,0.72,4.1,6.7,,0
8188,PIB Total,2008-05-28,2/2008,5.15,5.2,0.44,4.1,5.9,,0
8189,PIB Total,2008-05-28,3/2008,4.59,4.5,0.46,3.7,5.54,,0
8190,PIB Total,2008-05-28,4/2008,4.14,4.1,0.59,2.81,5.1,,0
8191,PIB Total,2008-05-28,1/2009,4.11,4.07,0.68,2.86,6.04,,0
8192,PIB Total,2008-05-29,1/2008,5.52,5.6,0.71,4.1,6.7,,0
8193,PIB Total,2008-05-29,2/2008,5.16,5.2,0.44,4.1,5.9,,0
8194,PIB Total,2008-05-29,3/2008,4.59,4.5,0.46,3.7,5.54,,0
8195,PIB Total,2008-05-29,4/2008,4.14,4.1,0.59,2.81,5.1,,0
8196,PIB Total,2008-05-29,1/2009,4.1,4.0,0.67,2.86,6.04,,0
8197,PIB Total,2008-05-30,1/2008,5.58,5.66,0.66,4.4,6.7,,0
8198,PIB Total,2008-05-30,2/2008,5.15,5.2,0.44,4.1,5.9,,0
8199,PIB Total,2008-05-30,3/2008,4.59,4.5,0.45,3.7,5.54,,0
8200,PIB Total,2008-05-30,4/2008,4.14,4.1,0.58,2.81,5.1,,0
8201,PIB Total,2008-05-30,1/2009,4.1,4.0,0.65,2.86,6.04,,0
8202,PIB Total,2008-06-02,1/2008,5.58,5.66,0.66,4.4,6.7,,0
8203,PIB Total,2008-06-02,2/2008,5.15,5.2,0.44,4.1,5.9,,0
8204,PIB Total,2008-06-02,3/2008,4.59,4.5,0.45,3.7,5.54,,0
8205,PIB Total,2008-06-02,4/2008,4.14,4.1,0.58,2.81,5.1,,0
8206,PIB Total,2008-06-02,1/2009,4.1,4.0,0.65,2.86,6.04,,0
8207,PIB Total,2008-06-03,1/2008,5.58,5.66,0.66,4.4,6.7,,0
8208,PIB Total,2008-06-03,2/2008,5.15,5.2,0.44,4.1,5.9,,0
8209,PIB Total,2008-06-03,3/2008,4.59,4.5,0.45,3.7,5.54,,0
8210,PIB Total,2008-06-03,4/2008,4.15,4.1,0.58,2.81,5.1,,0
8211,PIB Total,2008-06-03,1/2009,4.1,4.0,0.66,2.86,6.12,,0
8212,PIB Total,2008-06-04,1/2008,5.58,5.66,0.66,4.4,6.7,,0
8213,PIB Total,2008-06-04,2/2008,5.15,5.2,0.44,4.1,5.9,,0
8214,PIB Total,2008-06-04,3/2008,4.59,4.5,0.45,3.7,5.54,,0
8215,PIB Total,2008-06-04,4/2008,4.15,4.1,0.58,2.81,5.1,,0
8216,PIB Total,2008-06-04,1/2009,4.1,4.0,0.66,2.86,6.12,,0
8217,PIB Total,2008-06-05,1/2008,5.58,5.66,0.66,4.4,6.7,,0
8218,PIB Total,2008-06-05,2/2008,5.15,5.2,0.44,4.1,5.9,,0
8219,PIB Total,2008-06-05,3/2008,4.59,4.5,0.45,3.7,5.54,,0
8220,PIB Total,2008-06-05,4/2008,4.15,4.1,0.58,2.81,5.1,,0
8221,PIB Total,2008-06-05,1/2009,4.1,4.0,0.66,2.86,6.12,,0
8222,PIB Total,2008-06-06,1/2008,5.41,5.66,1.11,0.7,6.7,,0
8223,PIB Total,2008-06-06,2/2008,5.15,5.2,0.43,4.1,5.9,,0
8224,PIB Total,2008-06-06,3/2008,4.6,4.5,0.45,3.7,5.5,,0
8225,PIB Total,2008-06-06,4/2008,4.11,4.08,0.59,2.81,5.1,,0
8226,PIB Total,2008-06-06,1/2009,4.08,4.0,0.68,2.86,6.12,,0
8227,PIB Total,2008-06-09,1/2008,5.46,5.66,1.12,0.7,6.7,,0
8228,PIB Total,2008-06-09,2/2008,5.15,5.19,0.43,4.1,5.9,,0
8229,PIB Total,2008-06-09,3/2008,4.61,4.5,0.46,3.7,5.5,,0
8230,PIB Total,2008-06-09,4/2008,4.08,4.05,0.58,2.81,5.1,,0
8231,PIB Total,2008-06-09,1/2009,4.08,4.0,0.68,2.86,6.12,,0
8232,PIB Total,2008-06-10,2/2008,5.14,5.17,0.42,4.1,5.9,,0
8233,PIB Total,2008-06-10,3/2008,4.59,4.5,0.47,3.7,5.5,,0
8234,PIB Total,2008-06-10,4/2008,4.11,4.08,0.62,2.53,5.1,,0
8235,PIB Total,2008-06-10,1/2009,4.07,4.0,0.69,2.8,6.12,,0
8236,PIB Total,2008-06-10,2/2009,3.26,3.26,0.0,3.26,3.26,,0
8237,PIB Total,2008-06-11,2/2008,5.14,5.16,0.42,4.1,5.9,,0
8238,PIB Total,2008-06-11,3/2008,4.59,4.5,0.46,3.7,5.5,,0
8239,PIB Total,2008-06-11,4/2008,4.11,4.1,0.61,2.53,5.1,,0
8240,PIB Total,2008-06-11,1/2009,4.08,4.0,0.67,2.8,6.12,,0
8241,PIB Total,2008-06-11,2/2009,3.93,3.93,0.95,3.26,4.6,,0
8242,PIB Total,2008-06-12,2/2008,5.14,5.19,0.42,4.1,5.9,,0
8243,PIB Total,2008-06-12,3/2008,4.57,4.5,0.5,3.4,5.5,,0
8244,PIB Total,2008-06-12,4/2008,4.11,4.1,0.62,2.53,5.1,,0
8245,PIB Total,2008-06-12,1/2009,4.09,4.0,0.66,2.8,6.12,,0
8246,PIB Total,2008-06-12,2/2009,3.82,3.6,0.7,3.26,4.6,,0
8247,PIB Total,2008-06-13,2/2008,5.15,5.19,0.41,4.1,5.9,,0
8248,PIB Total,2008-06-13,3/2008,4.57,4.5,0.5,3.4,5.5,,0
8249,PIB Total,2008-06-13,4/2008,4.12,4.1,0.62,2.53,5.1,,0
8250,PIB Total,2008-06-13,1/2009,4.1,4.0,0.65,2.8,6.12,,0
8251,PIB Total,2008-06-13,2/2009,3.76,3.6,0.67,3.03,4.6,,0
8252,PIB Total,2008-06-16,2/2008,5.15,5.19,0.41,4.1,5.9,,0
8253,PIB Total,2008-06-16,3/2008,4.57,4.5,0.49,3.4,5.5,,0
8254,PIB Total,2008-06-16,4/2008,4.11,4.1,0.61,2.53,5.1,,0
8255,PIB Total,2008-06-16,1/2009,4.08,4.0,0.58,2.8,5.55,,0
8256,PIB Total,2008-06-16,2/2009,4.0,3.95,0.84,3.03,5.18,,0
8257,PIB Total,2008-06-17,2/2008,5.19,5.2,0.45,4.1,6.2,,0
8258,PIB Total,2008-06-17,3/2008,4.58,4.5,0.51,3.4,5.5,,0
8259,PIB Total,2008-06-17,4/2008,4.11,4.1,0.61,2.53,5.1,,0
8260,PIB Total,2008-06-17,1/2009,4.13,4.11,0.63,2.8,5.55,,0
8261,PIB Total,2008-06-17,2/2009,4.05,4.3,0.78,3.03,5.18,,0
8262,PIB Total,2008-06-18,2/2008,5.19,5.2,0.45,4.1,6.2,,0
8263,PIB Total,2008-06-18,3/2008,4.58,4.5,0.51,3.4,5.5,,0
8264,PIB Total,2008-06-18,4/2008,4.11,4.1,0.61,2.53,5.1,,0
8265,PIB Total,2008-06-18,1/2009,4.13,4.11,0.63,2.8,5.55,,0
8266,PIB Total,2008-06-18,2/2009,4.05,4.3,0.78,3.03,5.18,,0
8267,PIB Total,2008-06-19,2/2008,5.18,5.2,0.45,4.1,6.2,,0
8268,PIB Total,2008-06-19,3/2008,4.56,4.5,0.5,3.4,5.5,,0
8269,PIB Total,2008-06-19,4/2008,4.1,4.1,0.61,2.53,5.1,,0
8270,PIB Total,2008-06-19,1/2009,4.13,4.11,0.63,2.8,5.55,,0
8271,PIB Total,2008-06-19,2/2009,4.08,4.28,0.72,3.03,5.18,,0
8272,PIB Total,2008-06-20,2/2008,5.18,5.2,0.45,4.1,6.2,,0
8273,PIB Total,2008-06-20,3/2008,4.55,4.5,0.5,3.4,5.5,,0
8274,PIB Total,2008-06-20,4/2008,4.09,4.1,0.61,2.53,5.1,,0
8275,PIB Total,2008-06-20,1/2009,4.12,4.0,0.63,2.8,5.55,,0
8276,PIB Total,2008-06-20,2/2009,4.07,4.18,0.64,3.03,5.18,,0
8277,PIB Total,2008-06-23,2/2008,5.15,5.2,0.45,4.1,6.2,,0
8278,PIB Total,2008-06-23,3/2008,4.53,4.5,0.49,3.4,5.5,,0
8279,PIB Total,2008-06-23,4/2008,4.07,4.08,0.6,2.53,5.1,,0
8280,PIB Total,2008-06-23,1/2009,4.11,4.0,0.62,2.8,5.55,,0
8281,PIB Total,2008-06-23,2/2009,4.03,4.05,0.59,3.03,5.18,,0
8282,PIB Total,2008-06-24,2/2008,5.15,5.2,0.45,4.1,6.2,,0
8283,PIB Total,2008-06-24,3/2008,4.53,4.5,0.49,3.4,5.5,,0
8284,PIB Total,2008-06-24,4/2008,4.07,4.08,0.6,2.53,5.1,,0
8285,PIB Total,2008-06-24,1/2009,4.11,4.0,0.62,2.8,5.55,,0
8286,PIB Total,2008-06-24,2/2009,3.97,4.0,0.61,3.03,5.19,,0
8287,PIB Total,2008-06-25,2/2008,5.15,5.2,0.45,4.1,6.2,,0
8288,PIB Total,2008-06-25,3/2008,4.53,4.5,0.49,3.4,5.5,,0
8289,PIB Total,2008-06-25,4/2008,4.07,4.08,0.6,2.53,5.1,,0
8290,PIB Total,2008-06-25,1/2009,4.11,4.0,0.62,2.8,5.55,,0
8291,PIB Total,2008-06-25,2/2009,3.99,4.05,0.59,3.03,5.19,,0
8292,PIB Total,2008-06-26,2/2008,5.15,5.2,0.45,4.1,6.2,,0
8293,PIB Total,2008-06-26,3/2008,4.53,4.5,0.49,3.4,5.5,,0
8294,PIB Total,2008-06-26,4/2008,4.07,4.08,0.6,2.53,5.1,,0
8295,PIB Total,2008-06-26,1/2009,4.11,4.0,0.62,2.8,5.55,,0
8296,PIB Total,2008-06-26,2/2009,3.99,4.05,0.59,3.03,5.19,,0
8297,PIB Total,2008-06-27,2/2008,5.13,5.17,0.45,4.1,6.2,,0
8298,PIB Total,2008-06-27,3/2008,4.5,4.5,0.47,3.4,5.4,,0
8299,PIB Total,2008-06-27,4/2008,4.03,4.08,0.58,2.53,5.0,,0
8300,PIB Total,2008-06-27,1/2009,4.06,4.0,0.61,2.8,5.55,,0
8301,PIB Total,2008-06-27,2/2009,3.99,4.05,0.59,3.03,5.19,,0
8302,PIB Total,2008-06-30,2/2008,5.1,5.14,0.43,4.1,6.2,,0
8303,PIB Total,2008-06-30,3/2008,4.46,4.5,0.47,3.4,5.4,,0
8304,PIB Total,2008-06-30,4/2008,3.95,4.03,0.62,2.39,5.0,,0
8305,PIB Total,2008-06-30,1/2009,4.01,4.0,0.73,2.16,5.55,,0
8306,PIB Total,2008-06-30,2/2009,3.88,4.05,0.84,1.66,5.16,,0
8307,PIB Total,2008-07-01,2/2008,5.1,5.14,0.43,4.1,6.2,,0
8308,PIB Total,2008-07-01,3/2008,4.46,4.5,0.47,3.4,5.4,,0
8309,PIB Total,2008-07-01,4/2008,3.95,4.03,0.62,2.39,5.0,,0
8310,PIB Total,2008-07-01,1/2009,4.01,4.0,0.73,2.16,5.55,,0
8311,PIB Total,2008-07-01,2/2009,3.88,4.05,0.84,1.66,5.16,,0
8312,PIB Total,2008-07-02,2/2008,5.13,5.16,0.45,4.1,6.2,,0
8313,PIB Total,2008-07-02,3/2008,4.49,4.5,0.49,3.4,5.4,,0
8314,PIB Total,2008-07-02,4/2008,3.99,4.05,0.63,2.39,5.0,,0
8315,PIB Total,2008-07-02,1/2009,4.04,4.0,0.72,2.16,5.55,,0
8316,PIB Total,2008-07-02,2/2009,3.88,4.05,0.84,1.66,5.16,,0
8317,PIB Total,2008-07-03,2/2008,5.13,5.16,0.45,4.1,6.2,,0
8318,PIB Total,2008-07-03,3/2008,4.49,4.5,0.49,3.4,5.4,,0
8319,PIB Total,2008-07-03,4/2008,3.99,4.05,0.63,2.39,5.0,,0
8320,PIB Total,2008-07-03,1/2009,4.04,4.0,0.72,2.16,5.55,,0
8321,PIB Total,2008-07-03,2/2009,3.88,4.05,0.84,1.66,5.16,,0
8322,PIB Total,2008-07-04,2/2008,5.12,5.15,0.43,4.1,6.2,,0
8323,PIB Total,2008-07-04,3/2008,4.48,4.5,0.46,3.4,5.4,,0
8324,PIB Total,2008-07-04,4/2008,3.99,4.03,0.59,2.39,5.0,,0
8325,PIB Total,2008-07-04,1/2009,4.04,4.0,0.67,2.16,5.55,,0
8326,PIB Total,2008-07-04,2/2009,3.88,4.02,0.81,1.66,5.16,,0
8327,PIB Total,2008-07-07,2/2008,5.12,5.18,0.44,4.1,6.2,,0
8328,PIB Total,2008-07-07,3/2008,4.44,4.5,0.43,3.4,5.4,,0
8329,PIB Total,2008-07-07,4/2008,3.99,4.0,0.6,2.39,5.0,,0
8330,PIB Total,2008-07-07,1/2009,4.06,4.0,0.68,2.16,5.55,,0
8331,PIB Total,2008-07-07,2/2009,3.88,4.02,0.81,1.66,5.09,,0
8332,PIB Total,2008-07-08,2/2008,5.11,5.18,0.44,4.1,6.2,,0
8333,PIB Total,2008-07-08,3/2008,4.45,4.5,0.43,3.4,5.4,,0
8334,PIB Total,2008-07-08,4/2008,3.98,4.0,0.6,2.39,5.0,,0
8335,PIB Total,2008-07-08,1/2009,4.02,4.0,0.72,2.16,5.55,,0
8336,PIB Total,2008-07-08,2/2009,3.84,4.01,0.79,1.66,5.09,,0
8337,PIB Total,2008-07-09,2/2008,5.09,5.18,0.42,4.1,6.2,,0
8338,PIB Total,2008-07-09,3/2008,4.43,4.5,0.41,3.4,5.4,,0
8339,PIB Total,2008-07-09,4/2008,3.96,4.0,0.58,2.39,5.0,,0
8340,PIB Total,2008-07-09,1/2009,4.0,4.0,0.71,2.16,5.55,,0
8341,PIB Total,2008-07-09,2/2009,3.83,4.0,0.77,1.66,5.09,,0
8342,PIB Total,2008-07-10,2/2008,5.09,5.18,0.42,4.1,6.2,,0
8343,PIB Total,2008-07-10,3/2008,4.43,4.5,0.41,3.4,5.4,,0
8344,PIB Total,2008-07-10,4/2008,3.96,4.0,0.58,2.39,5.0,,0
8345,PIB Total,2008-07-10,1/2009,3.99,4.0,0.71,2.16,5.55,,0
8346,PIB Total,2008-07-10,2/2009,3.81,4.0,0.75,1.66,5.09,,0
8347,PIB Total,2008-07-11,2/2008,5.11,5.18,0.43,4.1,6.2,,0
8348,PIB Total,2008-07-11,3/2008,4.46,4.5,0.44,3.4,5.4,,0
8349,PIB Total,2008-07-11,4/2008,3.92,4.0,0.55,2.39,5.0,,0
8350,PIB Total,2008-07-11,1/2009,4.02,4.0,0.7,2.16,5.55,,0
8351,PIB Total,2008-07-11,2/2009,3.85,4.0,0.76,1.66,5.09,,0
8352,PIB Total,2008-07-14,2/2008,5.17,5.2,0.39,4.5,6.2,,0
8353,PIB Total,2008-07-14,3/2008,4.53,4.5,0.41,3.7,5.4,,0
8354,PIB Total,2008-07-14,4/2008,3.96,4.06,0.58,2.39,5.0,,0
8355,PIB Total,2008-07-14,1/2009,4.04,4.0,0.72,2.16,5.55,,0
8356,PIB Total,2008-07-14,2/2009,3.84,4.0,0.8,1.66,5.1,,0
8357,PIB Total,2008-07-15,2/2008,5.18,5.2,0.39,4.5,6.2,,0
8358,PIB Total,2008-07-15,3/2008,4.54,4.5,0.41,3.7,5.4,,0
8359,PIB Total,2008-07-15,4/2008,3.97,4.08,0.57,2.39,5.0,,0
8360,PIB Total,2008-07-15,1/2009,3.99,4.0,0.74,2.16,5.55,,0
8361,PIB Total,2008-07-15,2/2009,3.83,4.0,0.77,1.66,5.1,,0
8362,PIB Total,2008-07-16,2/2008,5.18,5.2,0.38,4.5,6.2,,0
8363,PIB Total,2008-07-16,3/2008,4.54,4.5,0.4,3.7,5.4,,0
8364,PIB Total,2008-07-16,4/2008,3.97,4.06,0.56,2.39,5.0,,0
8365,PIB Total,2008-07-16,1/2009,3.99,4.0,0.74,2.16,5.55,,0
8366,PIB Total,2008-07-16,2/2009,3.83,4.0,0.77,1.66,5.1,,0
8367,PIB Total,2008-07-17,2/2008,5.2,5.2,0.39,4.5,6.2,,0
8368,PIB Total,2008-07-17,3/2008,4.58,4.5,0.43,3.7,5.5,,0
8369,PIB Total,2008-07-17,4/2008,4.01,4.08,0.59,2.39,5.1,,0
8370,PIB Total,2008-07-17,1/2009,4.04,4.0,0.75,2.16,5.55,,0
8371,PIB Total,2008-07-17,2/2009,3.86,4.0,0.76,1.66,5.1,,0
8372,PIB Total,2008-07-18,2/2008,5.23,5.23,0.38,4.5,6.2,,0
8373,PIB Total,2008-07-18,3/2008,4.57,4.5,0.42,3.7,5.5,,0
8374,PIB Total,2008-07-18,4/2008,4.02,4.03,0.58,2.39,5.1,,0
8375,PIB Total,2008-07-18,1/2009,4.07,4.0,0.75,2.16,5.55,,0
8376,PIB Total,2008-07-18,2/2009,3.88,4.0,0.74,1.66,5.1,,0
8377,PIB Total,2008-07-21,2/2008,5.19,5.2,0.43,4.1,6.2,,0
8378,PIB Total,2008-07-21,3/2008,4.56,4.5,0.44,3.7,5.5,,0
8379,PIB Total,2008-07-21,4/2008,4.0,4.0,0.62,2.39,5.1,,0
8380,PIB Total,2008-07-21,1/2009,4.04,4.0,0.77,2.16,5.55,,0
8381,PIB Total,2008-07-21,2/2009,3.85,4.0,0.77,1.66,5.16,,0
8382,PIB Total,2008-07-22,2/2008,5.19,5.2,0.43,4.1,6.2,,0
8383,PIB Total,2008-07-22,3/2008,4.56,4.5,0.44,3.7,5.5,,0
8384,PIB Total,2008-07-22,4/2008,4.0,4.0,0.62,2.39,5.1,,0
8385,PIB Total,2008-07-22,1/2009,4.04,4.0,0.77,2.16,5.55,,0
8386,PIB Total,2008-07-22,2/2009,3.85,4.0,0.77,1.66,5.16,,0
8387,PIB Total,2008-07-23,2/2008,5.19,5.2,0.43,4.1,6.2,,0
8388,PIB Total,2008-07-23,3/2008,4.56,4.5,0.44,3.7,5.5,,0
8389,PIB Total,2008-07-23,4/2008,4.0,4.0,0.62,2.39,5.1,,0
8390,PIB Total,2008-07-23,1/2009,4.04,4.0,0.77,2.16,5.55,,0
8391,PIB Total,2008-07-23,2/2009,3.85,4.0,0.77,1.66,5.16,,0
8392,PIB Total,2008-07-24,2/2008,5.16,5.2,0.44,4.1,6.2,,0
8393,PIB Total,2008-07-24,3/2008,4.53,4.5,0.48,3.6,5.5,,0
8394,PIB Total,2008-07-24,4/2008,3.98,4.0,0.63,2.39,5.1,,0
8395,PIB Total,2008-07-24,1/2009,4.04,4.0,0.77,2.16,5.55,,0
8396,PIB Total,2008-07-24,2/2009,3.84,4.0,0.77,1.66,5.16,,0
8397,PIB Total,2008-07-25,2/2008,5.16,5.2,0.45,4.1,6.2,,0
8398,PIB Total,2008-07-25,3/2008,4.54,4.5,0.48,3.6,5.5,,0
8399,PIB Total,2008-07-25,4/2008,3.98,4.0,0.63,2.39,5.1,,0
8400,PIB Total,2008-07-25,1/2009,4.04,4.0,0.78,2.16,5.55,,0
8401,PIB Total,2008-07-25,2/2009,3.82,4.0,0.79,1.66,5.16,,0
8402,PIB Total,2008-07-28,2/2008,5.19,5.2,0.44,4.1,6.2,,0
8403,PIB Total,2008-07-28,3/2008,4.54,4.5,0.49,3.6,5.5,,0
8404,PIB Total,2008-07-28,4/2008,3.96,4.0,0.63,2.39,5.1,,0
8405,PIB Total,2008-07-28,1/2009,4.02,4.0,0.79,2.16,5.55,,0
8406,PIB Total,2008-07-28,2/2009,3.8,4.0,0.8,1.66,5.13,,0
8407,PIB Total,2008-07-29,2/2008,5.19,5.2,0.43,4.1,6.2,,0
8408,PIB Total,2008-07-29,3/2008,4.53,4.5,0.48,3.6,5.5,,0
8409,PIB Total,2008-07-29,4/2008,3.95,4.0,0.62,2.39,5.1,,0
8410,PIB Total,2008-07-29,1/2009,4.01,4.0,0.77,2.16,5.55,,0
8411,PIB Total,2008-07-29,2/2009,3.79,3.83,0.78,1.66,5.13,,0
8412,PIB Total,2008-07-30,2/2008,5.19,5.2,0.43,4.1,6.2,,0
8413,PIB Total,2008-07-30,3/2008,4.53,4.5,0.48,3.6,5.5,,0
8414,PIB Total,2008-07-30,4/2008,3.95,4.0,0.62,2.39,5.1,,0
8415,PIB Total,2008-07-30,1/2009,4.01,4.0,0.77,2.16,5.55,,0
8416,PIB Total,2008-07-30,2/2009,3.79,3.83,0.78,1.66,5.13,,0
8417,PIB Total,2008-07-31,2/2008,5.19,5.2,0.43,4.1,6.2,,0
8418,PIB Total,2008-07-31,3/2008,4.53,4.5,0.48,3.6,5.5,,0
8419,PIB Total,2008-07-31,4/2008,3.95,4.0,0.62,2.39,5.1,,0
8420,PIB Total,2008-07-31,1/2009,4.01,4.0,0.75,2.16,5.55,,0
8421,PIB Total,2008-07-31,2/2009,3.76,3.65,0.77,1.66,5.13,,0
8422,PIB Total,2008-08-01,2/2008,5.21,5.2,0.44,4.1,6.2,,0
8423,PIB Total,2008-08-01,3/2008,4.48,4.5,0.51,3.4,5.5,,0
8424,PIB Total,2008-08-01,4/2008,3.93,4.0,0.62,2.39,5.1,,0
8425,PIB Total,2008-08-01,1/2009,3.98,4.0,0.8,2.1,5.55,,0
8426,PIB Total,2008-08-01,2/2009,3.69,3.63,0.82,1.66,5.13,,0
8427,PIB Total,2008-08-04,2/2008,5.29,5.33,0.45,4.5,6.2,,0
8428,PIB Total,2008-08-04,3/2008,4.51,4.5,0.53,3.4,5.5,,0
8429,PIB Total,2008-08-04,4/2008,3.94,4.0,0.66,2.39,5.1,,0
8430,PIB Total,2008-08-04,1/2009,3.99,4.0,0.84,2.1,5.55,,0
8431,PIB Total,2008-08-04,2/2009,3.69,3.63,0.82,1.66,5.13,,0
8432,PIB Total,2008-08-05,2/2008,5.27,5.3,0.46,4.5,6.2,,0
8433,PIB Total,2008-08-05,3/2008,4.49,4.5,0.53,3.4,5.5,,0
8434,PIB Total,2008-08-05,4/2008,3.95,4.0,0.65,2.39,5.1,,0
8435,PIB Total,2008-08-05,1/2009,3.99,4.0,0.82,2.1,5.55,,0
8436,PIB Total,2008-08-05,2/2009,3.69,3.6,0.8,1.66,5.16,,0
8437,PIB Total,2008-08-06,2/2008,5.27,5.3,0.46,4.5,6.2,,0
