,Indicador,Data,Suavizada,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,IPCA,2001-11-07,N,5.52,5.48,0.58,4.31,6.24,,0
1,IPCA,2001-11-08,N,5.67,5.79,0.56,4.31,6.27,,0
2,IPCA,2001-11-09,N,5.39,5.53,0.58,4.12,6.17,,0
3,IPCA,2001-11-12,N,5.4,5.42,0.53,4.44,6.38,,0
4,IPCA,2001-11-13,N,5.43,5.48,0.5,4.44,6.38,,0
5,IPCA,2001-11-14,N,5.49,5.53,0.5,4.44,6.38,,0
6,IPCA,2001-11-16,N,5.44,5.48,0.51,4.44,6.38,,0
7,IPCA,2001-11-19,N,5.43,5.48,0.51,4.44,6.38,,0
8,IPCA,2001-11-20,N,5.43,5.48,0.51,4.44,6.38,,0
9,IPCA,2001-11-21,N,5.44,5.48,0.5,4.44,6.38,,0
10,IPCA,2001-11-22,N,5.44,5.48,0.52,4.44,6.38,,0
11,IPCA,2001-11-23,N,5.45,5.48,0.53,4.44,6.38,,0
12,IPCA,2001-11-26,N,5.46,5.48,0.53,4.44,6.38,,0
13,IPCA,2001-11-27,N,5.5,5.5,0.57,4.44,7.12,,0
14,IPCA,2001-11-28,N,5.51,5.48,0.59,4.44,7.33,,0
15,IPCA,2001-11-29,N,5.54,5.52,0.59,4.46,7.33,,0
16,IPCA,2001-11-30,N,5.57,5.67,0.59,4.46,7.33,,0
17,IPCA,2001-12-03,N,5.56,5.67,0.57,4.46,7.01,,0
18,IPCA,2001-12-04,N,5.56,5.67,0.57,4.46,7.01,,0
19,IPCA,2001-12-05,N,5.57,5.67,0.57,4.46,7.01,,0
20,IPCA,2001-12-06,N,5.57,5.67,0.58,4.46,7.01,,0
21,IPCA,2001-12-07,N,5.59,5.67,0.59,4.46,7.1,,0
22,IPCA,2001-12-10,N,5.59,5.79,0.58,4.46,7.1,,0
23,IPCA,2001-12-11,N,5.56,5.62,0.6,4.46,7.1,,0
24,IPCA,2001-12-12,N,5.16,5.22,0.57,4.05,6.64,,0
25,IPCA,2001-12-12,S,5.17,5.22,0.56,,,,0
26,IPCA,2001-12-13,N,5.16,5.22,0.57,4.05,6.64,,0
27,IPCA,2001-12-13,S,5.16,5.22,0.55,,,,0
28,IPCA,2001-12-14,N,5.12,5.16,0.59,3.48,6.64,,0
29,IPCA,2001-12-14,S,5.13,5.15,0.57,,,,0
30,IPCA,2001-12-17,N,5.12,5.16,0.58,3.48,6.64,,0
31,IPCA,2001-12-17,S,5.12,5.16,0.57,,,,0
32,IPCA,2001-12-18,N,5.09,5.12,0.59,3.48,6.8,,0
33,IPCA,2001-12-18,S,5.09,5.13,0.58,,,,0
34,IPCA,2001-12-19,N,5.11,5.12,0.54,4.12,6.8,,0
35,IPCA,2001-12-19,S,5.11,5.11,0.53,,,,0
36,IPCA,2001-12-20,N,5.04,5.07,0.57,3.87,6.8,,0
37,IPCA,2001-12-20,S,5.04,5.07,0.56,,,,0
38,IPCA,2001-12-21,N,5.01,5.02,0.58,3.87,6.8,,0
39,IPCA,2001-12-21,S,5.0,5.01,0.58,,,,0
40,IPCA,2001-12-24,N,5.0,5.04,0.59,3.87,6.8,,0
41,IPCA,2001-12-24,S,4.99,5.02,0.6,,,,0
42,IPCA,2001-12-26,N,4.98,4.96,0.59,3.87,6.8,,0
43,IPCA,2001-12-26,S,4.96,4.99,0.6,,,,0
44,IPCA,2001-12-27,N,4.94,4.88,0.59,3.87,6.8,,0
45,IPCA,2001-12-27,S,4.91,4.9,0.6,,,,0
46,IPCA,2001-12-28,N,4.85,4.78,0.57,3.76,6.8,,0
47,IPCA,2001-12-28,S,4.81,4.71,0.58,,,,0
48,IPCA,2001-12-31,N,4.84,4.77,0.57,3.76,6.8,,0
49,IPCA,2001-12-31,S,4.8,4.7,0.59,,,,0
50,IPCA,2002-01-02,N,4.81,4.73,0.56,3.76,6.8,,0
51,IPCA,2002-01-02,S,4.77,4.68,0.58,,,,0
52,IPCA,2002-01-03,N,4.8,4.71,0.54,3.76,6.64,,0
53,IPCA,2002-01-03,S,4.74,4.62,0.57,,,,0
54,IPCA,2002-01-04,N,4.76,4.69,0.53,3.76,6.64,,0
55,IPCA,2002-01-04,S,4.71,4.62,0.57,,,,0
56,IPCA,2002-01-07,N,4.74,4.66,0.48,3.76,6.13,,0
57,IPCA,2002-01-07,S,4.68,4.58,0.53,,,,0
58,IPCA,2002-01-08,N,4.76,4.66,0.48,3.76,6.13,,0
59,IPCA,2002-01-08,S,4.7,4.59,0.53,,,,0
60,IPCA,2002-01-09,N,4.74,4.65,0.48,3.76,6.13,,0
61,IPCA,2002-01-09,S,4.7,4.59,0.53,,,,0
62,IPCA,2002-01-10,N,4.75,4.65,0.49,3.76,6.13,,0
63,IPCA,2002-01-10,S,4.7,4.59,0.54,,,,0
64,IPCA,2002-01-11,N,4.72,4.61,0.53,3.66,6.48,,0
65,IPCA,2002-01-11,S,4.8,4.81,0.54,,,,0
66,IPCA,2002-01-14,N,4.72,4.61,0.52,3.66,6.48,,0
67,IPCA,2002-01-14,S,4.83,4.82,0.53,,,,0
68,IPCA,2002-01-15,N,4.73,4.62,0.52,3.66,6.48,,0
69,IPCA,2002-01-15,S,4.84,4.83,0.53,,,,0
70,IPCA,2002-01-16,N,4.73,4.62,0.52,3.66,6.48,,0
71,IPCA,2002-01-16,S,4.85,4.86,0.53,,,,0
72,IPCA,2002-01-17,N,4.73,4.62,0.52,3.79,6.48,,0
73,IPCA,2002-01-17,S,4.81,4.83,0.56,,,,0
74,IPCA,2002-01-18,N,4.75,4.75,0.51,3.79,6.48,,0
75,IPCA,2002-01-18,S,4.78,4.81,0.57,,,,0
76,IPCA,2002-01-21,N,4.74,4.83,0.48,3.79,6.48,,0
77,IPCA,2002-01-21,S,4.78,4.83,0.58,,,,0
78,IPCA,2002-01-22,N,4.75,4.83,0.47,3.79,6.48,,0
79,IPCA,2002-01-22,S,4.79,4.84,0.58,,,,0
80,IPCA,2002-01-23,N,4.75,4.83,0.47,3.79,6.48,,0
81,IPCA,2002-01-23,S,4.79,4.84,0.58,,,,0
82,IPCA,2002-01-24,N,4.75,4.8,0.45,3.87,6.48,,0
83,IPCA,2002-01-24,S,4.76,4.67,0.57,,,,0
84,IPCA,2002-01-25,N,4.76,4.77,0.43,3.87,6.48,,0
85,IPCA,2002-01-25,S,4.76,4.65,0.53,,,,0
86,IPCA,2002-01-28,N,4.79,4.82,0.45,3.76,6.48,,0
87,IPCA,2002-01-28,S,4.82,4.88,0.55,,,,0
88,IPCA,2002-01-29,N,4.76,4.8,0.39,3.76,5.56,,0
89,IPCA,2002-01-29,S,4.74,4.77,0.4,,,,0
90,IPCA,2002-01-30,N,4.76,4.82,0.38,3.76,5.56,,0
91,IPCA,2002-01-30,S,4.72,4.72,0.39,,,,0
92,IPCA,2002-01-31,N,4.76,4.83,0.37,3.76,5.56,,0
93,IPCA,2002-01-31,S,4.72,4.71,0.39,,,,0
94,IPCA,2002-02-01,N,4.77,4.83,0.37,3.76,5.56,,0
95,IPCA,2002-02-01,S,4.72,4.7,0.4,,,,0
96,IPCA,2002-02-04,N,4.76,4.8,0.38,3.76,5.56,,0
97,IPCA,2002-02-04,S,4.71,4.66,0.41,,,,0
98,IPCA,2002-02-05,N,4.77,4.83,0.37,3.76,5.56,,0
99,IPCA,2002-02-05,S,4.69,4.66,0.4,,,,0
100,IPCA,2002-02-06,N,4.76,4.8,0.37,3.76,5.56,,0
101,IPCA,2002-02-06,S,4.67,4.65,0.42,,,,0
102,IPCA,2002-02-07,N,4.77,4.8,0.37,3.76,5.56,,0
103,IPCA,2002-02-07,S,4.67,4.64,0.42,,,,0
104,IPCA,2002-02-08,N,4.68,4.64,0.39,3.85,5.55,,0
105,IPCA,2002-02-08,S,4.69,4.64,0.41,,,,0
106,IPCA,2002-02-11,N,4.66,4.64,0.37,3.85,5.55,,0
107,IPCA,2002-02-11,S,4.66,4.63,0.39,,,,0
108,IPCA,2002-02-13,N,4.66,4.64,0.37,3.85,5.55,,0
109,IPCA,2002-02-13,S,4.66,4.63,0.4,,,,0
110,IPCA,2002-02-14,N,4.65,4.62,0.37,3.85,5.55,,0
111,IPCA,2002-02-14,S,4.65,4.63,0.38,,,,0
112,IPCA,2002-02-15,N,4.65,4.62,0.36,3.85,5.55,,0
113,IPCA,2002-02-15,S,4.64,4.62,0.38,,,,0
114,IPCA,2002-02-18,N,4.65,4.62,0.36,3.85,5.55,,0
115,IPCA,2002-02-18,S,4.64,4.62,0.38,,,,0
116,IPCA,2002-02-19,N,4.64,4.63,0.35,3.85,5.55,,0
117,IPCA,2002-02-19,S,4.63,4.62,0.38,,,,0
118,IPCA,2002-02-20,N,4.64,4.63,0.35,3.85,5.55,,0
119,IPCA,2002-02-20,S,4.63,4.62,0.38,,,,0
120,IPCA,2002-02-21,N,4.65,4.63,0.35,3.85,5.55,,0
121,IPCA,2002-02-21,S,4.63,4.62,0.38,,,,0
122,IPCA,2002-02-22,N,4.67,4.67,0.34,3.85,5.55,,0
123,IPCA,2002-02-22,S,4.65,4.67,0.38,,,,0
124,IPCA,2002-02-25,N,4.67,4.67,0.34,3.85,5.55,,0
125,IPCA,2002-02-25,S,4.65,4.67,0.38,,,,0
126,IPCA,2002-02-26,N,4.66,4.67,0.33,3.85,5.61,,0
127,IPCA,2002-02-26,S,4.64,4.66,0.35,,,,0
128,IPCA,2002-02-27,N,4.68,4.67,0.33,3.85,5.61,,0
129,IPCA,2002-02-27,S,4.65,4.66,0.35,,,,0
130,IPCA,2002-02-28,N,4.7,4.72,0.33,3.85,5.61,,0
131,IPCA,2002-02-28,S,4.67,4.65,0.35,,,,0
132,IPCA,2002-03-01,N,4.72,4.75,0.3,4.02,5.61,,0
133,IPCA,2002-03-01,S,4.67,4.64,0.32,,,,0
134,IPCA,2002-03-04,N,4.72,4.75,0.3,4.02,5.61,,0
135,IPCA,2002-03-04,S,4.66,4.63,0.32,,,,0
136,IPCA,2002-03-05,N,4.75,4.75,0.33,4.02,5.61,,0
137,IPCA,2002-03-05,S,4.68,4.62,0.35,,,,0
138,IPCA,2002-03-06,N,4.76,4.75,0.34,4.02,5.61,,0
139,IPCA,2002-03-06,S,4.68,4.62,0.35,,,,0
140,IPCA,2002-03-07,N,4.78,4.77,0.32,4.27,5.61,,0
141,IPCA,2002-03-07,S,4.71,4.63,0.35,,,,0
142,IPCA,2002-03-08,N,4.78,4.76,0.32,4.27,5.61,,0
143,IPCA,2002-03-08,S,4.7,4.62,0.35,,,,0
144,IPCA,2002-03-11,N,4.78,4.76,0.31,4.27,5.61,,0
145,IPCA,2002-03-11,S,4.7,4.61,0.35,,,,0
146,IPCA,2002-03-12,N,4.71,4.62,0.35,4.17,5.66,,0
147,IPCA,2002-03-12,S,4.72,4.66,0.28,,,,0
148,IPCA,2002-03-13,N,4.73,4.7,0.34,4.17,5.66,,0
149,IPCA,2002-03-13,S,4.75,4.74,0.28,,,,0
150,IPCA,2002-03-14,N,4.79,4.78,0.36,4.17,5.66,,0
151,IPCA,2002-03-14,S,4.81,4.8,0.29,,,,0
152,IPCA,2002-03-15,N,4.82,4.81,0.33,4.27,5.66,,0
153,IPCA,2002-03-15,S,4.81,4.81,0.28,,,,0
154,IPCA,2002-03-18,N,4.82,4.8,0.34,4.27,5.66,,0
155,IPCA,2002-03-18,S,4.8,4.77,0.28,,,,0
156,IPCA,2002-03-19,N,4.81,4.76,0.35,4.27,5.66,,0
157,IPCA,2002-03-19,S,4.78,4.76,0.3,,,,0
158,IPCA,2002-03-20,N,4.81,4.8,0.34,4.27,5.66,,0
159,IPCA,2002-03-20,S,4.76,4.74,0.3,,,,0
160,IPCA,2002-03-21,N,4.81,4.81,0.34,4.27,5.66,,0
161,IPCA,2002-03-21,S,4.76,4.72,0.3,,,,0
162,IPCA,2002-03-22,N,4.85,4.87,0.34,4.27,5.66,,0
163,IPCA,2002-03-22,S,4.79,4.77,0.3,,,,0
164,IPCA,2002-03-25,N,4.91,4.9,0.37,4.27,5.92,,0
165,IPCA,2002-03-25,S,4.82,4.82,0.31,,,,0
166,IPCA,2002-03-26,N,4.93,4.9,0.38,4.27,5.92,,0
167,IPCA,2002-03-26,S,4.84,4.82,0.33,,,,0
168,IPCA,2002-03-27,N,4.95,4.91,0.39,4.27,5.92,,0
169,IPCA,2002-03-27,S,4.85,4.84,0.34,,,,0
170,IPCA,2002-03-28,N,4.94,4.92,0.38,4.27,5.92,,0
171,IPCA,2002-03-28,S,4.84,4.81,0.33,,,,0
172,IPCA,2002-04-01,N,4.97,4.92,0.37,4.27,5.92,,0
173,IPCA,2002-04-01,S,4.84,4.8,0.31,,,,0
174,IPCA,2002-04-02,N,4.98,4.94,0.37,4.27,5.92,,0
175,IPCA,2002-04-02,S,4.84,4.8,0.31,,,,0
176,IPCA,2002-04-03,N,4.99,5.01,0.37,4.27,5.92,,0
177,IPCA,2002-04-03,S,4.83,4.83,0.31,,,,0
178,IPCA,2002-04-04,N,5.07,5.08,0.4,4.27,5.93,,0
179,IPCA,2002-04-04,S,4.92,4.91,0.35,,,,0
180,IPCA,2002-04-05,N,5.1,5.1,0.4,4.27,5.93,,0
181,IPCA,2002-04-05,S,4.93,4.93,0.34,,,,0
182,IPCA,2002-04-08,N,5.11,5.1,0.4,4.27,5.93,,0
183,IPCA,2002-04-08,S,4.91,4.91,0.33,,,,0
184,IPCA,2002-04-09,N,5.09,5.1,0.39,4.27,5.93,,0
185,IPCA,2002-04-09,S,4.9,4.9,0.33,,,,0
186,IPCA,2002-04-10,N,4.91,4.9,0.33,4.28,5.69,,0
187,IPCA,2002-04-10,S,4.91,4.91,0.34,,,,0
188,IPCA,2002-04-11,N,4.89,4.9,0.36,4.07,5.69,,0
189,IPCA,2002-04-11,S,4.87,4.89,0.37,,,,0
190,IPCA,2002-04-12,N,4.9,4.92,0.36,4.07,5.69,,0
191,IPCA,2002-04-12,S,4.86,4.88,0.38,,,,0
192,IPCA,2002-04-15,N,4.92,4.93,0.34,4.07,5.69,,0
193,IPCA,2002-04-15,S,4.83,4.86,0.37,,,,0
194,IPCA,2002-04-16,N,4.91,4.92,0.34,4.07,5.69,,0
195,IPCA,2002-04-16,S,4.81,4.85,0.37,,,,0
196,IPCA,2002-04-17,N,4.87,4.91,0.33,4.07,5.53,,0
197,IPCA,2002-04-17,S,4.76,4.83,0.35,,,,0
198,IPCA,2002-04-18,N,4.86,4.91,0.33,4.07,5.53,,0
199,IPCA,2002-04-18,S,4.74,4.81,0.35,,,,0
200,IPCA,2002-04-19,N,4.86,4.9,0.33,4.07,5.53,,0
201,IPCA,2002-04-19,S,4.72,4.75,0.34,,,,0
202,IPCA,2002-04-22,N,4.84,4.87,0.35,4.07,5.53,,0
203,IPCA,2002-04-22,S,4.64,4.7,0.38,,,,0
204,IPCA,2002-04-23,N,4.85,4.91,0.36,4.07,5.64,,0
205,IPCA,2002-04-23,S,4.63,4.68,0.39,,,,0
206,IPCA,2002-04-24,N,4.89,4.92,0.4,4.07,5.85,,0
207,IPCA,2002-04-24,S,4.62,4.67,0.39,,,,0
208,IPCA,2002-04-25,N,4.91,4.92,0.39,4.07,5.85,,0
209,IPCA,2002-04-25,S,4.61,4.66,0.39,,,,0
210,IPCA,2002-04-26,N,4.91,4.93,0.39,4.07,5.85,,0
211,IPCA,2002-04-26,S,4.6,4.65,0.39,,,,0
212,IPCA,2002-04-29,N,4.9,4.92,0.4,4.07,5.85,,0
213,IPCA,2002-04-29,S,4.53,4.59,0.4,,,,0
214,IPCA,2002-04-30,N,4.9,4.92,0.4,4.07,5.85,,0
215,IPCA,2002-04-30,S,4.51,4.57,0.4,,,,0
216,IPCA,2002-05-02,N,4.9,4.92,0.41,4.07,5.85,,0
217,IPCA,2002-05-02,S,4.47,4.54,0.42,,,,0
218,IPCA,2002-05-03,N,4.9,4.92,0.41,4.07,5.85,,0
219,IPCA,2002-05-03,S,4.46,4.52,0.42,,,,0
220,IPCA,2002-05-06,N,4.89,4.92,0.41,4.07,5.85,,0
221,IPCA,2002-05-06,S,4.4,4.47,0.43,,,,0
222,IPCA,2002-05-07,N,4.9,4.92,0.42,4.11,5.85,,0
223,IPCA,2002-05-07,S,4.39,4.46,0.43,,,,0
224,IPCA,2002-05-08,N,4.9,4.92,0.42,4.11,5.85,,0
225,IPCA,2002-05-08,S,4.38,4.44,0.44,,,,0
226,IPCA,2002-05-09,N,4.9,4.92,0.41,4.11,5.68,,0
227,IPCA,2002-05-09,S,4.36,4.43,0.45,,,,0
228,IPCA,2002-05-10,N,4.37,4.41,0.44,3.35,5.2,,0
229,IPCA,2002-05-10,S,4.42,4.44,0.46,,,,0
230,IPCA,2002-05-13,N,4.38,4.42,0.44,3.35,5.2,,0
231,IPCA,2002-05-13,S,4.42,4.41,0.46,,,,0
232,IPCA,2002-05-14,N,4.38,4.43,0.44,3.35,5.23,,0
233,IPCA,2002-05-14,S,4.42,4.42,0.45,,,,0
234,IPCA,2002-05-15,N,4.4,4.42,0.45,3.35,5.23,,0
235,IPCA,2002-05-15,S,4.44,4.43,0.47,,,,0
236,IPCA,2002-05-16,N,4.39,4.4,0.45,3.35,5.23,,0
237,IPCA,2002-05-16,S,4.42,4.39,0.46,,,,0
238,IPCA,2002-05-17,N,4.41,4.43,0.45,3.35,5.23,,0
239,IPCA,2002-05-17,S,4.43,4.41,0.47,,,,0
240,IPCA,2002-05-20,N,4.41,4.43,0.43,3.48,5.23,,0
241,IPCA,2002-05-20,S,4.42,4.41,0.46,,,,0
242,IPCA,2002-05-21,N,4.4,4.44,0.43,3.48,5.2,,0
243,IPCA,2002-05-21,S,4.41,4.42,0.45,,,,0
244,IPCA,2002-05-22,N,4.4,4.44,0.43,3.48,5.2,,0
245,IPCA,2002-05-22,S,4.41,4.42,0.46,,,,0
246,IPCA,2002-05-23,N,4.39,4.43,0.43,3.48,5.2,,0
247,IPCA,2002-05-23,S,4.39,4.41,0.45,,,,0
248,IPCA,2002-05-24,N,4.39,4.41,0.42,3.48,5.2,,0
249,IPCA,2002-05-24,S,4.38,4.36,0.45,,,,0
250,IPCA,2002-05-27,N,4.38,4.4,0.41,3.48,5.2,,0
251,IPCA,2002-05-27,S,4.38,4.38,0.45,,,,0
252,IPCA,2002-05-28,N,4.37,4.39,0.42,3.48,5.2,,0
253,IPCA,2002-05-28,S,4.37,4.36,0.45,,,,0
254,IPCA,2002-05-29,N,4.38,4.41,0.39,3.55,5.2,,0
255,IPCA,2002-05-29,S,4.33,4.32,0.44,,,,0
256,IPCA,2002-05-31,N,4.37,4.41,0.38,3.55,5.2,,0
257,IPCA,2002-05-31,S,4.32,4.33,0.44,,,,0
258,IPCA,2002-06-03,N,4.37,4.41,0.38,3.55,5.2,,0
259,IPCA,2002-06-03,S,4.32,4.37,0.44,,,,0
260,IPCA,2002-06-04,N,4.38,4.41,0.39,3.55,5.2,,0
261,IPCA,2002-06-04,S,4.33,4.37,0.46,,,,0
262,IPCA,2002-06-05,N,4.39,4.43,0.44,3.29,5.63,,0
263,IPCA,2002-06-05,S,4.34,4.36,0.53,,,,0
264,IPCA,2002-06-06,N,4.39,4.43,0.44,3.29,5.63,,0
265,IPCA,2002-06-06,S,4.34,4.36,0.53,,,,0
266,IPCA,2002-06-07,N,4.39,4.41,0.45,3.29,5.63,,0
267,IPCA,2002-06-07,S,4.33,4.32,0.54,,,,0
268,IPCA,2002-06-10,N,4.38,4.41,0.45,3.29,5.63,,0
269,IPCA,2002-06-10,S,4.33,4.29,0.55,,,,0
270,IPCA,2002-06-11,N,4.37,4.4,0.45,3.29,5.63,,0
271,IPCA,2002-06-11,S,4.31,4.23,0.56,,,,0
272,IPCA,2002-06-12,N,4.32,4.23,0.55,2.78,5.57,,0
273,IPCA,2002-06-12,S,4.38,4.38,0.57,,,,0
274,IPCA,2002-06-13,N,4.33,4.23,0.57,2.78,5.57,,0
275,IPCA,2002-06-13,S,4.4,4.23,0.51,,,,0
276,IPCA,2002-06-14,N,4.37,4.33,0.58,2.78,5.57,,0
277,IPCA,2002-06-14,S,4.42,4.32,0.53,,,,0
278,IPCA,2002-06-17,N,4.4,4.33,0.56,2.78,5.57,,0
279,IPCA,2002-06-17,S,4.46,4.31,0.49,,,,0
280,IPCA,2002-06-18,N,4.4,4.34,0.56,2.78,5.57,,0
281,IPCA,2002-06-18,S,4.47,4.54,0.49,,,,0
282,IPCA,2002-06-19,N,4.41,4.34,0.57,2.78,5.7,,0
283,IPCA,2002-06-19,S,4.47,4.54,0.51,,,,0
284,IPCA,2002-06-20,N,4.43,4.34,0.58,2.78,5.7,,0
285,IPCA,2002-06-20,S,4.47,4.42,0.52,,,,0
286,IPCA,2002-06-21,N,4.45,4.56,0.6,2.78,5.7,,0
287,IPCA,2002-06-21,S,4.48,4.55,0.54,,,,0
288,IPCA,2002-06-24,N,4.5,4.59,0.64,2.78,6.0,,0
289,IPCA,2002-06-24,S,4.53,4.55,0.58,,,,0
290,IPCA,2002-06-25,N,4.55,4.64,0.67,2.78,6.0,,0
291,IPCA,2002-06-25,S,4.57,4.56,0.61,,,,0
292,IPCA,2002-06-26,N,4.56,4.64,0.68,2.78,6.0,,0
293,IPCA,2002-06-26,S,4.57,4.56,0.61,,,,0
294,IPCA,2002-06-27,N,4.59,4.64,0.69,2.78,6.0,,0
295,IPCA,2002-06-27,S,4.6,4.56,0.62,,,,0
296,IPCA,2002-06-28,N,4.57,4.59,0.67,2.78,6.0,,0
297,IPCA,2002-06-28,S,4.58,4.53,0.6,,,,0
298,IPCA,2002-07-01,N,4.64,4.59,0.65,2.78,6.0,,0
299,IPCA,2002-07-01,S,4.63,4.53,0.57,,,,0
300,IPCA,2002-07-02,N,4.65,4.59,0.67,2.78,6.0,,0
301,IPCA,2002-07-02,S,4.65,4.55,0.59,,,,0
302,IPCA,2002-07-03,N,4.7,4.68,0.66,2.78,6.0,,0
303,IPCA,2002-07-03,S,4.68,4.57,0.59,,,,0
304,IPCA,2002-07-04,N,4.72,4.68,0.65,2.78,6.0,,0
305,IPCA,2002-07-04,S,4.7,4.57,0.58,,,,0
306,IPCA,2002-07-05,N,4.76,4.75,0.65,2.78,6.0,,0
307,IPCA,2002-07-05,S,4.74,4.6,0.58,,,,0
308,IPCA,2002-07-08,N,4.8,4.75,0.57,3.81,6.0,,0
309,IPCA,2002-07-08,S,4.73,4.61,0.58,,,,0
310,IPCA,2002-07-09,N,4.82,4.77,0.58,3.81,6.0,,0
311,IPCA,2002-07-09,S,4.74,4.62,0.58,,,,0
312,IPCA,2002-07-10,N,4.77,4.64,0.58,3.76,6.02,,0
313,IPCA,2002-07-10,S,4.85,4.72,0.55,,,,0
314,IPCA,2002-07-11,N,4.81,4.7,0.56,3.83,6.02,,0
315,IPCA,2002-07-11,S,4.85,4.72,0.54,,,,0
316,IPCA,2002-07-12,N,4.85,4.75,0.54,3.83,6.02,,0
317,IPCA,2002-07-12,S,4.86,4.72,0.53,,,,0
318,IPCA,2002-07-15,N,4.89,4.75,0.51,3.95,6.02,,0
319,IPCA,2002-07-15,S,4.83,4.68,0.5,,,,0
320,IPCA,2002-07-16,N,4.9,4.83,0.48,3.95,5.91,,0
321,IPCA,2002-07-16,S,4.81,4.7,0.49,,,,0
322,IPCA,2002-07-17,N,4.91,4.86,0.48,3.95,5.91,,0
323,IPCA,2002-07-17,S,4.8,4.71,0.48,,,,0
324,IPCA,2002-07-18,N,4.93,4.89,0.48,3.95,5.91,,0
325,IPCA,2002-07-18,S,4.8,4.74,0.48,,,,0
326,IPCA,2002-07-19,N,4.95,4.97,0.49,3.95,5.89,,0
327,IPCA,2002-07-19,S,4.81,4.8,0.49,,,,0
328,IPCA,2002-07-22,N,4.96,4.97,0.48,3.95,5.89,,0
329,IPCA,2002-07-22,S,4.77,4.79,0.49,,,,0
330,IPCA,2002-07-23,N,4.97,4.97,0.48,3.95,5.89,,0
331,IPCA,2002-07-23,S,4.77,4.79,0.48,,,,0
332,IPCA,2002-07-24,N,4.99,5.01,0.51,3.95,6.1,,0
333,IPCA,2002-07-24,S,4.78,4.82,0.51,,,,0
334,IPCA,2002-07-25,N,5.01,5.06,0.52,3.95,6.1,,0
335,IPCA,2002-07-25,S,4.78,4.81,0.54,,,,0
336,IPCA,2002-07-26,N,5.0,5.05,0.52,3.95,6.1,,0
337,IPCA,2002-07-26,S,4.76,4.78,0.54,,,,0
338,IPCA,2002-07-29,N,5.02,5.06,0.53,3.95,6.1,,0
339,IPCA,2002-07-29,S,4.74,4.73,0.56,,,,0
340,IPCA,2002-07-30,N,5.04,5.06,0.54,3.95,6.1,,0
341,IPCA,2002-07-30,S,4.74,4.72,0.58,,,,0
342,IPCA,2002-07-31,N,5.08,5.07,0.59,3.95,6.48,,0
343,IPCA,2002-07-31,S,4.76,4.73,0.61,,,,0
344,IPCA,2002-08-01,N,5.15,5.09,0.59,3.95,6.48,,0
345,IPCA,2002-08-01,S,4.82,4.76,0.62,,,,0
346,IPCA,2002-08-02,N,5.15,5.09,0.59,3.95,6.48,,0
347,IPCA,2002-08-02,S,4.8,4.74,0.62,,,,0
348,IPCA,2002-08-05,N,5.21,5.11,0.55,4.23,6.48,,0
349,IPCA,2002-08-05,S,4.78,4.72,0.61,,,,0
350,IPCA,2002-08-06,N,5.25,5.22,0.57,4.23,6.48,,0
351,IPCA,2002-08-06,S,4.79,4.69,0.64,,,,0
352,IPCA,2002-08-07,N,5.25,5.22,0.57,4.23,6.48,,0
353,IPCA,2002-08-07,S,4.78,4.68,0.64,,,,0
354,IPCA,2002-08-08,N,5.29,5.29,0.54,4.23,6.48,,0
355,IPCA,2002-08-08,S,4.79,4.67,0.62,,,,0
356,IPCA,2002-08-09,N,4.79,4.67,0.61,3.76,5.99,,0
357,IPCA,2002-08-09,S,4.85,4.7,0.61,,,,0
358,IPCA,2002-08-12,N,4.86,4.68,0.6,3.76,5.99,,0
359,IPCA,2002-08-12,S,4.92,4.72,0.59,,,,0
360,IPCA,2002-08-13,N,4.89,4.74,0.59,3.76,5.99,,0
361,IPCA,2002-08-13,S,4.94,4.86,0.58,,,,0
362,IPCA,2002-08-14,N,4.91,4.75,0.59,3.77,6.01,,0
363,IPCA,2002-08-14,S,4.94,4.86,0.58,,,,0
364,IPCA,2002-08-15,N,4.94,4.75,0.56,3.87,6.01,,0
365,IPCA,2002-08-15,S,4.92,4.69,0.58,,,,0
366,IPCA,2002-08-16,N,4.97,5.01,0.55,3.87,5.91,,0
367,IPCA,2002-08-16,S,4.93,4.87,0.58,,,,0
368,IPCA,2002-08-19,N,5.12,5.19,0.64,3.77,6.8,,0
369,IPCA,2002-08-19,S,5.13,5.21,0.64,,,,0
370,IPCA,2002-08-20,N,5.18,5.27,0.7,3.77,7.39,,0
371,IPCA,2002-08-20,S,5.18,5.22,0.72,,,,0
372,IPCA,2002-08-21,N,5.22,5.3,0.7,3.77,7.39,,0
373,IPCA,2002-08-21,S,5.21,5.34,0.72,,,,0
374,IPCA,2002-08-22,N,5.22,5.26,0.69,3.77,7.39,,0
375,IPCA,2002-08-22,S,5.2,5.28,0.71,,,,0
376,IPCA,2002-08-23,N,5.24,5.24,0.7,3.77,7.39,,0
377,IPCA,2002-08-23,S,5.21,5.2,0.73,,,,0
378,IPCA,2002-08-26,N,5.28,5.32,0.69,3.77,7.39,,0
379,IPCA,2002-08-26,S,5.24,5.26,0.73,,,,0
380,IPCA,2002-08-27,N,5.31,5.34,0.7,3.77,7.39,,0
381,IPCA,2002-08-27,S,5.27,5.26,0.74,,,,0
382,IPCA,2002-08-28,N,5.37,5.37,0.71,3.77,7.39,,0
383,IPCA,2002-08-28,S,5.3,5.25,0.77,,,,0
384,IPCA,2002-08-29,N,5.39,5.37,0.74,3.77,7.39,,0
