,Média,Desvio Padrão,Mediana,Mínimo,Máximo
beta1,0.1310478624855242,0.057837558879350805,0.122512698326332,-0.338095722349162,0.924079684165706
beta2,-0.02547888810987876,0.06312603676451144,-0.0187922706141987,-0.731346532111347,0.402630235522929
beta3,-0.022750371685163032,0.26555688206149897,-0.0147416745441584,-0.998003226315002,0.998641777198912
beta4,-0.02074921177821378,0.29041035049271813,-0.0207528056654279,-0.999098537342901,0.996840683268897
tau1,1.4558591221379622,1.8266017017033938,1.00000010475083,-18.56201233105,19.1597323192936
tau2,2.1394903825492824,1.9986805226897253,1.10663074073315,-17.6222005970158,11.0253913476962
